"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"	"gender"
"RASGRF2"	0.875786587301001	0.308530540183022	0.154	0.146	1	"Endo"	"RASGRF2"	"brain region: Entorhinal cortex"	"male"
"ROCK11"	0.87611600077798	-0.149168808322684	0.159	0.146	1	"Endo"	"ROCK1"	"brain region: Entorhinal cortex"	"male"
"EFHD1"	0.876503736643437	-0.0810340036722352	0.105	0.098	1	"Endo"	"EFHD1"	"brain region: Entorhinal cortex"	"male"
"SESTD1"	0.877502886297919	-0.10343227026124	0.139	0.146	1	"Endo"	"SESTD1"	"brain region: Entorhinal cortex"	"male"
"EDN1"	0.87782670407387	-0.248690752512505	0.133	0.122	1	"Endo"	"EDN1"	"brain region: Entorhinal cortex"	"male"
"SP100"	0.878047956932117	-0.49883969957942	0.163	0.146	1	"Endo"	"SP100"	"brain region: Entorhinal cortex"	"male"
"MGLL1"	0.878651355038318	-0.082626252409352	0.131	0.122	1	"Endo"	"MGLL"	"brain region: Entorhinal cortex"	"male"
"KLC11"	0.87869079817028	-0.187320393993714	0.107	0.098	1	"Endo"	"KLC1"	"brain region: Entorhinal cortex"	"male"
"ASXL11"	0.878705141077425	-0.227322651440946	0.133	0.122	1	"Endo"	"ASXL1"	"brain region: Entorhinal cortex"	"male"
"SDK11"	0.879825789978887	-0.60404920361192	0.168	0.171	1	"Endo"	"SDK1"	"brain region: Entorhinal cortex"	"male"
"SIPA1L31"	0.883341222890383	-0.233288328986026	0.105	0.098	1	"Endo"	"SIPA1L3"	"brain region: Entorhinal cortex"	"male"
"UBR21"	0.884378378566806	-0.203123522018992	0.139	0.146	1	"Endo"	"UBR2"	"brain region: Entorhinal cortex"	"male"
"PRDX11"	0.885685393678953	0.112065803724626	0.154	0.146	1	"Endo"	"PRDX1"	"brain region: Entorhinal cortex"	"male"
"CNTN11"	0.886180110118676	0.0123247984302832	0.13	0.122	1	"Endo"	"CNTN1"	"brain region: Entorhinal cortex"	"male"
"SNRNP701"	0.886274262403877	-0.166758671024003	0.105	0.098	1	"Endo"	"SNRNP70"	"brain region: Entorhinal cortex"	"male"
"EPN21"	0.8878449042876	-0.0739620068489839	0.184	0.171	1	"Endo"	"EPN2"	"brain region: Entorhinal cortex"	"male"
"ARHGAP10"	0.888140736136067	-0.495079533528486	0.163	0.146	1	"Endo"	"ARHGAP10"	"brain region: Entorhinal cortex"	"male"
"PKP4"	0.888451980746719	-0.230140946839285	0.194	0.195	1	"Endo"	"PKP4"	"brain region: Entorhinal cortex"	"male"
"OST4"	0.889286256992708	-0.0899095511348127	0.131	0.122	1	"Endo"	"OST4"	"brain region: Entorhinal cortex"	"male"
"CHD91"	0.88935557865213	-0.237271846570586	0.249	0.22	1	"Endo"	"CHD9"	"brain region: Entorhinal cortex"	"male"
"NF11"	0.88946606725184	-0.822234308434975	0.257	0.22	1	"Endo"	"NF1"	"brain region: Entorhinal cortex"	"male"
"COL4A1"	0.890632457784572	0.037338589323572	0.13	0.122	1	"Endo"	"COL4A1"	"brain region: Entorhinal cortex"	"male"
"SRRM21"	0.891881323930682	-0.0452349495198594	0.154	0.146	1	"Endo"	"SRRM2"	"brain region: Entorhinal cortex"	"male"
"MAP4K31"	0.89337714565591	-0.334426867954102	0.173	0.171	1	"Endo"	"MAP4K3"	"brain region: Entorhinal cortex"	"male"
"WWC2"	0.893776261736503	0.137506703224061	0.128	0.122	1	"Endo"	"WWC2"	"brain region: Entorhinal cortex"	"male"
"CD991"	0.895088256992319	-0.125543039238615	0.13	0.122	1	"Endo"	"CD99"	"brain region: Entorhinal cortex"	"male"
"CWF19L2"	0.895263595556482	-0.614007553316918	0.118	0.122	1	"Endo"	"CWF19L2"	"brain region: Entorhinal cortex"	"male"
"ANKRD111"	0.896048930213633	-0.25667336821229	0.169	0.171	1	"Endo"	"ANKRD11"	"brain region: Entorhinal cortex"	"male"
"TRAK11"	0.897995365802075	-0.0119156788459138	0.103	0.098	1	"Endo"	"TRAK1"	"brain region: Entorhinal cortex"	"male"
"SETBP1"	0.897995365802075	0.0459428715952521	0.103	0.098	1	"Endo"	"SETBP1"	"brain region: Entorhinal cortex"	"male"
"CGGBP1"	0.89855894002609	-0.185977660192095	0.132	0.122	1	"Endo"	"CGGBP1"	"brain region: Entorhinal cortex"	"male"
"DNAJC11"	0.899645946628273	-0.150900724370257	0.156	0.146	1	"Endo"	"DNAJC1"	"brain region: Entorhinal cortex"	"male"
"PPP2CB1"	0.899941126577571	0.00804207475164476	0.131	0.122	1	"Endo"	"PPP2CB"	"brain region: Entorhinal cortex"	"male"
"PTPRB"	0.900278400531881	-0.0776610448119488	0.183	0.171	1	"Endo"	"PTPRB"	"brain region: Entorhinal cortex"	"male"
"KANK11"	0.901331914780745	-0.177614978088442	0.13	0.122	1	"Endo"	"KANK1"	"brain region: Entorhinal cortex"	"male"
"AC013461.1"	0.901915789492028	-0.121659664798626	0.158	0.146	1	"Endo"	"AC013461.1"	"brain region: Entorhinal cortex"	"male"
"ANO61"	0.901936299588676	-0.106151648316247	0.103	0.098	1	"Endo"	"ANO6"	"brain region: Entorhinal cortex"	"male"
"ARFGEF11"	0.902846667617344	-0.632603032666641	0.126	0.122	1	"Endo"	"ARFGEF1"	"brain region: Entorhinal cortex"	"male"
"CEP1701"	0.902914332388182	-0.32525953637767	0.107	0.098	1	"Endo"	"CEP170"	"brain region: Entorhinal cortex"	"male"
"DENND2A"	0.903212682817814	-0.134355195595025	0.116	0.122	1	"Endo"	"DENND2A"	"brain region: Entorhinal cortex"	"male"
"SVIL"	0.905704941265197	0.027065113831386	0.26	0.244	1	"Endo"	"SVIL"	"brain region: Entorhinal cortex"	"male"
"S100A11"	0.905795431386397	-0.0157874264660605	0.13	0.122	1	"Endo"	"S100A11"	"brain region: Entorhinal cortex"	"male"
"TMCC11"	0.90847497695118	-0.193009408452449	0.13	0.122	1	"Endo"	"TMCC1"	"brain region: Entorhinal cortex"	"male"
"ADGRF5"	0.908508202074723	-0.378574804695955	0.162	0.146	1	"Endo"	"ADGRF5"	"brain region: Entorhinal cortex"	"male"
"PLPP11"	0.909324713060089	-0.209455669083871	0.188	0.171	1	"Endo"	"PLPP1"	"brain region: Entorhinal cortex"	"male"
"RBMS31"	0.910074149085592	0.143320443868915	0.552	0.537	1	"Endo"	"RBMS3"	"brain region: Entorhinal cortex"	"male"
"PDGFRB1"	0.910086860016205	-0.0093141172038913	0.182	0.171	1	"Endo"	"PDGFRB"	"brain region: Entorhinal cortex"	"male"
"ELOVL7"	0.910337826328174	-0.378545199783333	0.265	0.244	1	"Endo"	"ELOVL7"	"brain region: Entorhinal cortex"	"male"
"PDE5A1"	0.91098638654565	-0.1764915082446	0.141	0.146	1	"Endo"	"PDE5A"	"brain region: Entorhinal cortex"	"male"
"SEMA5A"	0.911303274758088	-0.251578148540296	0.133	0.122	1	"Endo"	"SEMA5A"	"brain region: Entorhinal cortex"	"male"
"RNF2131"	0.912832091077498	-0.0938295069705	0.102	0.098	1	"Endo"	"RNF213"	"brain region: Entorhinal cortex"	"male"
"UBE2E21"	0.913916912817356	-0.41289233016852	0.188	0.171	1	"Endo"	"UBE2E2"	"brain region: Entorhinal cortex"	"male"
"RP11-649A16.1"	0.91412506174199	0.0519006277912004	0.181	0.171	1	"Endo"	"RP11-649A16.1"	"brain region: Entorhinal cortex"	"male"
"SVIL-AS1"	0.9148168214196	0.0354106802070495	0.102	0.098	1	"Endo"	"SVIL-AS1"	"brain region: Entorhinal cortex"	"male"
"TNRC6C1"	0.914920630276318	0.358929977737327	0.1	0.098	1	"Endo"	"TNRC6C"	"brain region: Entorhinal cortex"	"male"
"PREX21"	0.915723120803775	-0.245498148001149	0.159	0.146	1	"Endo"	"PREX2"	"brain region: Entorhinal cortex"	"male"
"A2M"	0.916642548526329	-0.486580119739994	0.255	0.244	1	"Endo"	"A2M"	"brain region: Entorhinal cortex"	"male"
"EGFL7"	0.918407180485645	-0.390511831821335	0.288	0.268	1	"Endo"	"EGFL7"	"brain region: Entorhinal cortex"	"male"
"GIGYF21"	0.919860454801669	0.0129251446463943	0.101	0.098	1	"Endo"	"GIGYF2"	"brain region: Entorhinal cortex"	"male"
"SRSF111"	0.920620484329445	-0.406764806720884	0.173	0.171	1	"Endo"	"SRSF11"	"brain region: Entorhinal cortex"	"male"
"DENND4C1"	0.921609001833929	-0.282855856281667	0.132	0.122	1	"Endo"	"DENND4C"	"brain region: Entorhinal cortex"	"male"
"YWHAB"	0.923098974532184	-0.263585596266576	0.159	0.146	1	"Endo"	"YWHAB"	"brain region: Entorhinal cortex"	"male"
"C9orf31"	0.923785164974904	-0.768161026232105	0.148	0.146	1	"Endo"	"C9orf3"	"brain region: Entorhinal cortex"	"male"
"ADGRL4"	0.924786243943481	-0.0154878306733506	0.153	0.146	1	"Endo"	"ADGRL4"	"brain region: Entorhinal cortex"	"male"
"ZSWIM51"	0.926969237605007	-0.164368055645151	0.128	0.122	1	"Endo"	"ZSWIM5"	"brain region: Entorhinal cortex"	"male"
"PPP1R12A1"	0.928142936175658	-0.421918827039363	0.176	0.171	1	"Endo"	"PPP1R12A"	"brain region: Entorhinal cortex"	"male"
"ZFYVE91"	0.929585141400781	-0.149278331970364	0.103	0.098	1	"Endo"	"ZFYVE9"	"brain region: Entorhinal cortex"	"male"
"BTBD71"	0.929755507636388	-0.140953956126409	0.117	0.122	1	"Endo"	"BTBD7"	"brain region: Entorhinal cortex"	"male"
"CAMK2D1"	0.931340134212176	-0.346887459803229	0.229	0.22	1	"Endo"	"CAMK2D"	"brain region: Entorhinal cortex"	"male"
"SIPA1L11"	0.931641102587988	0.0563917970412688	0.127	0.122	1	"Endo"	"SIPA1L1"	"brain region: Entorhinal cortex"	"male"
"MSRB3"	0.932849351670656	0.158900695231585	0.101	0.098	1	"Endo"	"MSRB3"	"brain region: Entorhinal cortex"	"male"
"TUBA1A1"	0.933122503816942	0.00505996252991303	0.153	0.146	1	"Endo"	"TUBA1A"	"brain region: Entorhinal cortex"	"male"
"ELF21"	0.934370233695678	-0.601524919381741	0.245	0.22	1	"Endo"	"ELF2"	"brain region: Entorhinal cortex"	"male"
"MLLT41"	0.935578440687825	0.0115106031933083	0.143	0.146	1	"Endo"	"MLLT4"	"brain region: Entorhinal cortex"	"male"
"PTMS"	0.937925668108343	0.0603741906474102	0.152	0.146	1	"Endo"	"PTMS"	"brain region: Entorhinal cortex"	"male"
"TMBIM61"	0.938205281851279	0.0381173575384279	0.23	0.22	1	"Endo"	"TMBIM6"	"brain region: Entorhinal cortex"	"male"
"NR2F11"	0.939028750996934	0.0938321155328303	0.1	0.098	1	"Endo"	"NR2F1"	"brain region: Entorhinal cortex"	"male"
"C20orf1941"	0.941048764562061	-0.225073342481335	0.153	0.146	1	"Endo"	"C20orf194"	"brain region: Entorhinal cortex"	"male"
"MAP41"	0.945047802586706	-0.347216626568871	0.232	0.22	1	"Endo"	"MAP4"	"brain region: Entorhinal cortex"	"male"
"FLOT1"	0.945868969568809	-0.212166970672341	0.128	0.122	1	"Endo"	"FLOT1"	"brain region: Entorhinal cortex"	"male"
"BCLAF1"	0.946071819876831	0.000217163183030333	0.1	0.098	1	"Endo"	"BCLAF1"	"brain region: Entorhinal cortex"	"male"
"KMT5B"	0.947078329665463	0.128784466024971	0.1	0.098	1	"Endo"	"KMT5B"	"brain region: Entorhinal cortex"	"male"
"CTDSPL1"	0.947406522423122	-0.439229953817561	0.103	0.098	1	"Endo"	"CTDSPL"	"brain region: Entorhinal cortex"	"male"
"ESAM"	0.948364093563077	-0.100105261712968	0.127	0.122	1	"Endo"	"ESAM"	"brain region: Entorhinal cortex"	"male"
"NSF1"	0.948905936045306	-0.0581051673144273	0.12	0.122	1	"Endo"	"NSF"	"brain region: Entorhinal cortex"	"male"
"AGFG1"	0.949485860361739	-0.297231631814608	0.151	0.146	1	"Endo"	"AGFG1"	"brain region: Entorhinal cortex"	"male"
"CCDC3"	0.950138684685411	-0.305883182804666	0.105	0.098	1	"Endo"	"CCDC3"	"brain region: Entorhinal cortex"	"male"
"PCCA1"	0.952000153562493	-0.214769919164908	0.204	0.195	1	"Endo"	"PCCA"	"brain region: Entorhinal cortex"	"male"
"RNF152"	0.953077476217894	-0.464314975121628	0.128	0.122	1	"Endo"	"RNF152"	"brain region: Entorhinal cortex"	"male"
"SIL11"	0.953690426308472	-0.334559527837256	0.151	0.146	1	"Endo"	"SIL1"	"brain region: Entorhinal cortex"	"male"
"ZFYVE161"	0.953791103799941	-0.623409159184709	0.108	0.098	1	"Endo"	"ZFYVE16"	"brain region: Entorhinal cortex"	"male"
"COL5A31"	0.954083545409716	-0.598061482162834	0.105	0.098	1	"Endo"	"COL5A3"	"brain region: Entorhinal cortex"	"male"
"RAPGEF5"	0.95412567170233	-0.0970851884021275	0.203	0.195	1	"Endo"	"RAPGEF5"	"brain region: Entorhinal cortex"	"male"
"DHFR1"	0.954300501589897	-0.173624149478647	0.214	0.195	1	"Endo"	"DHFR"	"brain region: Entorhinal cortex"	"male"
"SCMH11"	0.954766001995533	-0.224056772909884	0.146	0.146	1	"Endo"	"SCMH1"	"brain region: Entorhinal cortex"	"male"
"NTRK31"	0.955176289017216	-1.36853366515259	0.207	0.195	1	"Endo"	"NTRK3"	"brain region: Entorhinal cortex"	"male"
"WDR601"	0.955421926278313	-0.414907101616716	0.126	0.122	1	"Endo"	"WDR60"	"brain region: Entorhinal cortex"	"male"
"SLC27A4"	0.95593867604961	-0.209213949158003	0.152	0.146	1	"Endo"	"SLC27A4"	"brain region: Entorhinal cortex"	"male"
"GPHN1"	0.956179496442918	-0.32755534596663	0.267	0.244	1	"Endo"	"GPHN"	"brain region: Entorhinal cortex"	"male"
"UBA52"	0.956260728163939	-0.14512618174323	0.202	0.195	1	"Endo"	"UBA52"	"brain region: Entorhinal cortex"	"male"
"TNS2"	0.956334891531577	-0.150607394663286	0.182	0.171	1	"Endo"	"TNS2"	"brain region: Entorhinal cortex"	"male"
"HDAC81"	0.956683205073761	-0.152215539207247	0.128	0.122	1	"Endo"	"HDAC8"	"brain region: Entorhinal cortex"	"male"
"SPRED11"	0.956873332827704	-0.578774645628675	0.101	0.098	1	"Endo"	"SPRED1"	"brain region: Entorhinal cortex"	"male"
"ERCC6L2"	0.957147808923121	-0.471472892958337	0.1	0.098	1	"Endo"	"ERCC6L2"	"brain region: Entorhinal cortex"	"male"
"DMD1"	0.959425501737854	-0.13416219567756	0.258	0.244	1	"Endo"	"DMD"	"brain region: Entorhinal cortex"	"male"
"PRRC2B1"	0.960603577249477	-0.849588839514879	0.131	0.122	1	"Endo"	"PRRC2B"	"brain region: Entorhinal cortex"	"male"
"ANKRD441"	0.960735111339234	-0.164182642628128	0.146	0.146	1	"Endo"	"ANKRD44"	"brain region: Entorhinal cortex"	"male"
"KLF6"	0.961863742293542	-0.335105729933685	0.202	0.195	1	"Endo"	"KLF6"	"brain region: Entorhinal cortex"	"male"
"KIAA0368"	0.962185215027666	0.00539458530943482	0.1	0.098	1	"Endo"	"KIAA0368"	"brain region: Entorhinal cortex"	"male"
"STK38"	0.964837804717267	-0.0843279163652737	0.121	0.122	1	"Endo"	"STK38"	"brain region: Entorhinal cortex"	"male"
"MCAM"	0.965208395707105	-0.0370462172205381	0.1	0.098	1	"Endo"	"MCAM"	"brain region: Entorhinal cortex"	"male"
"BGN"	0.966102779577243	-0.249135362282388	0.177	0.171	1	"Endo"	"BGN"	"brain region: Entorhinal cortex"	"male"
"WWOX1"	0.968436147938477	-0.129116697854188	0.324	0.293	1	"Endo"	"WWOX"	"brain region: Entorhinal cortex"	"male"
"GBE11"	0.968732781842078	0.0362442949304356	0.149	0.146	1	"Endo"	"GBE1"	"brain region: Entorhinal cortex"	"male"
"MAP1B1"	0.969985326647047	-0.299499885185085	0.207	0.195	1	"Endo"	"MAP1B"	"brain region: Entorhinal cortex"	"male"
"RAB2A1"	0.970197927378174	-0.26473146327218	0.152	0.146	1	"Endo"	"RAB2A"	"brain region: Entorhinal cortex"	"male"
"SORBS11"	0.971324988432866	-0.239116457799729	0.284	0.268	1	"Endo"	"SORBS1"	"brain region: Entorhinal cortex"	"male"
"MARCH61"	0.974973877230971	-0.493876800200599	0.181	0.171	1	"Endo"	"MARCH6"	"brain region: Entorhinal cortex"	"male"
"CHD21"	0.97730568807411	-0.154649651920441	0.1	0.098	1	"Endo"	"CHD2"	"brain region: Entorhinal cortex"	"male"
"SEC24B"	0.977305689332736	-0.417123503615772	0.1	0.098	1	"Endo"	"SEC24B"	"brain region: Entorhinal cortex"	"male"
"SYT12"	0.979199831243288	-0.348923325738712	0.205	0.195	1	"Endo"	"SYT1"	"brain region: Entorhinal cortex"	"male"
"KHDRBS1"	0.979539252110358	-0.260865178634016	0.102	0.098	1	"Endo"	"KHDRBS1"	"brain region: Entorhinal cortex"	"male"
"COG51"	0.979977032446463	-0.539019511747346	0.126	0.122	1	"Endo"	"COG5"	"brain region: Entorhinal cortex"	"male"
"PI4KA1"	0.980295780732962	-0.787861759458074	0.131	0.122	1	"Endo"	"PI4KA"	"brain region: Entorhinal cortex"	"male"
"RBMS1"	0.980598643122205	-0.284416823205363	0.235	0.22	1	"Endo"	"RBMS1"	"brain region: Entorhinal cortex"	"male"
"TMEM2"	0.980972287154927	-0.0588987092890505	0.174	0.171	1	"Endo"	"TMEM2"	"brain region: Entorhinal cortex"	"male"
"MAP2K11"	0.982015901427711	-0.56464462051002	0.13	0.122	1	"Endo"	"MAP2K1"	"brain region: Entorhinal cortex"	"male"
"INTS61"	0.982104244259246	-0.187131894066845	0.123	0.122	1	"Endo"	"INTS6"	"brain region: Entorhinal cortex"	"male"
"ACTN1"	0.983480636452537	-0.060254203236328	0.123	0.122	1	"Endo"	"ACTN1"	"brain region: Entorhinal cortex"	"male"
"LAMA4"	0.983776459660493	0.0907106522570731	0.146	0.146	1	"Endo"	"LAMA4"	"brain region: Entorhinal cortex"	"male"
"ABCA8"	0.983946129660555	-0.314844736311588	0.101	0.098	1	"Endo"	"ABCA8"	"brain region: Entorhinal cortex"	"male"
"ATRX1"	0.985003242245053	-0.699094272665196	0.214	0.195	1	"Endo"	"ATRX"	"brain region: Entorhinal cortex"	"male"
"SPEN1"	0.985437121642815	-0.168864802751539	0.126	0.122	1	"Endo"	"SPEN"	"brain region: Entorhinal cortex"	"male"
"PDE4D1"	0.985964678080762	-0.441478849796684	0.293	0.268	1	"Endo"	"PDE4D"	"brain region: Entorhinal cortex"	"male"
"GNAI2"	0.987069786915381	-0.584994658270559	0.154	0.146	1	"Endo"	"GNAI2"	"brain region: Entorhinal cortex"	"male"
"SFPQ1"	0.987257315799081	-0.295471465350615	0.126	0.122	1	"Endo"	"SFPQ"	"brain region: Entorhinal cortex"	"male"
"ISG15"	0.987390873803554	-0.0336238675053733	0.1	0.098	1	"Endo"	"ISG15"	"brain region: Entorhinal cortex"	"male"
"ZCCHC111"	0.987410587478696	-0.292182875040556	0.13	0.122	1	"Endo"	"ZCCHC11"	"brain region: Entorhinal cortex"	"male"
"SNTB1"	0.987811634421637	-0.344679683245027	0.128	0.122	1	"Endo"	"SNTB1"	"brain region: Entorhinal cortex"	"male"
"COL6A1"	0.992513649894781	-0.699725807877459	0.102	0.098	1	"Endo"	"COL6A1"	"brain region: Entorhinal cortex"	"male"
"TMEM87A"	0.993679927109121	-0.364299132892739	0.128	0.122	1	"Endo"	"TMEM87A"	"brain region: Entorhinal cortex"	"male"
"C16orf52"	0.994538660099805	-0.400041123607401	0.126	0.122	1	"Endo"	"C16orf52"	"brain region: Entorhinal cortex"	"male"
"SENP61"	0.994625616077946	-0.663358686109042	0.131	0.122	1	"Endo"	"SENP6"	"brain region: Entorhinal cortex"	"male"
"MYH9"	0.996836810286806	-0.366098492967112	0.238	0.22	1	"Endo"	"MYH9"	"brain region: Entorhinal cortex"	"male"
"PIAS11"	0.996871229459826	-0.422577796925076	0.181	0.171	1	"Endo"	"PIAS1"	"brain region: Entorhinal cortex"	"male"
"RAB7A1"	0.997061090524613	-0.442155947856118	0.152	0.146	1	"Endo"	"RAB7A"	"brain region: Entorhinal cortex"	"male"
"MBD51"	0.997218886105747	-0.484213002269197	0.245	0.22	1	"Endo"	"MBD5"	"brain region: Entorhinal cortex"	"male"
"THRAP3"	0.99819424749309	-0.456093180337615	0.128	0.122	1	"Endo"	"THRAP3"	"brain region: Entorhinal cortex"	"male"
"POU2F11"	0.999093473846727	-0.372476962483268	0.127	0.122	1	"Endo"	"POU2F1"	"brain region: Entorhinal cortex"	"male"
"PTGES31"	0.999223951776942	-0.500063553927353	0.184	0.171	1	"Endo"	"PTGES3"	"brain region: Entorhinal cortex"	"male"
"MICU21"	0.999500902702329	-0.583255115436202	0.102	0.098	1	"Endo"	"MICU2"	"brain region: Entorhinal cortex"	"male"
"PRKCE1"	0.999581525027748	-0.389781640267652	0.153	0.146	1	"Endo"	"PRKCE"	"brain region: Entorhinal cortex"	"male"
"TINAGL1"	1	-0.106150627729891	0.125	0.122	1	"Endo"	"TINAGL1"	"brain region: Entorhinal cortex"	"male"
"MALAT12"	9.74250248781257e-205	1.1369200808268	0.998	0.997	3.27260401068112e-200	"Mig"	"MALAT1"	"brain region: Entorhinal cortex"	"male"
"MT-CO32"	2.57221959237698e-115	-2.23002811212215	0.309	0.652	8.6403428327535e-111	"Mig"	"MT-CO3"	"brain region: Entorhinal cortex"	"male"
"RP11-624C23.1"	1.97419599149247e-91	2.66038564523661	0.523	0.063	6.63152175502236e-87	"Mig"	"RP11-624C23.1"	"brain region: Entorhinal cortex"	"male"
"MT-CO12"	3.68908449171376e-70	-2.02349893316243	0.233	0.49	1.23920037161157e-65	"Mig"	"MT-CO1"	"brain region: Entorhinal cortex"	"male"
"RP11-452H21.11"	4.71413476170949e-64	2.26535152795557	0.407	0.045	1.58352500780583e-59	"Mig"	"RP11-452H21.1"	"brain region: Entorhinal cortex"	"male"
"MT-CO22"	1.06625864108635e-54	-1.78193335619618	0.295	0.515	3.58166940127315e-50	"Mig"	"MT-CO2"	"brain region: Entorhinal cortex"	"male"
"B2M2"	2.86441588826659e-52	1.81995843511854	0.366	0.045	9.62185941027632e-48	"Mig"	"B2M"	"brain region: Entorhinal cortex"	"male"
"MCF2L21"	4.5829923998795e-52	2.29073807199536	0.344	0.035	1.53947297704352e-47	"Mig"	"MCF2L2"	"brain region: Entorhinal cortex"	"male"
"DPYD1"	7.6284575843746e-52	1.90630510700071	0.369	0.052	2.56247518716727e-47	"Mig"	"DPYD"	"brain region: Entorhinal cortex"	"male"
"MT-ND22"	3.65222532732786e-51	-1.84853312966444	0.223	0.44	1.2268190097027e-46	"Mig"	"MT-ND2"	"brain region: Entorhinal cortex"	"male"
"CTD-2282P23.21"	1.89423021667072e-48	2.37518081948427	0.305	0.021	6.36290872081863e-44	"Mig"	"CTD-2282P23.2"	"brain region: Entorhinal cortex"	"male"
"MT-ND42"	1.26902092993185e-46	-1.72741008395156	0.267	0.472	4.26276820573409e-42	"Mig"	"MT-ND4"	"brain region: Entorhinal cortex"	"male"
"SLC17A72"	2.90485902005946e-46	-1.86115408726611	0.028	0.142	9.75771193428173e-42	"Mig"	"SLC17A7"	"brain region: Entorhinal cortex"	"male"
"HIST2H2BF"	1.0850547226192e-45	2.5128591583525	0.295	0.024	3.64480731875015e-41	"Mig"	"HIST2H2BF"	"brain region: Entorhinal cortex"	"male"
"MT-ND12"	1.50602043036695e-44	-1.90242104459926	0.173	0.367	5.05887322764563e-40	"Mig"	"MT-ND1"	"brain region: Entorhinal cortex"	"male"
"MT-CYB2"	1.71654260665366e-41	-1.84349035694074	0.192	0.38	5.76603827001032e-37	"Mig"	"MT-CYB"	"brain region: Entorhinal cortex"	"male"
"LINGO12"	2.31006329023225e-41	-0.977060757605396	0.691	0.762	7.75973359821914e-37	"Mig"	"LINGO1"	"brain region: Entorhinal cortex"	"male"
"N4BP2L22"	5.96427763606233e-40	1.00775072932751	0.432	0.119	2.0034605007297e-35	"Mig"	"N4BP2L2"	"brain region: Entorhinal cortex"	"male"
"TBC1D192"	1.47784789859329e-39	1.3481444351635	0.33	0.06	4.96423887616473e-35	"Mig"	"TBC1D19"	"brain region: Entorhinal cortex"	"male"
"NPTXR2"	1.48790762270241e-39	-1.92493767102879	0.02	0.111	4.99803049541966e-35	"Mig"	"NPTXR"	"brain region: Entorhinal cortex"	"male"
"RP11-142M10.2"	4.12961568250234e-38	2.06556504935772	0.246	0.014	1.38717920390936e-33	"Mig"	"RP11-142M10.2"	"brain region: Entorhinal cortex"	"male"
"ACSL1"	1.4000284516632e-37	2.32509329296724	0.247	0.018	4.70283557198187e-33	"Mig"	"ACSL1"	"brain region: Entorhinal cortex"	"male"
"RAB11A2"	1.63144018435352e-37	1.39316035556199	0.342	0.072	5.48017072326192e-33	"Mig"	"RAB11A"	"brain region: Entorhinal cortex"	"male"
"JUND2"	1.44509037544124e-35	-1.74241562402357	0.042	0.156	4.85420308014469e-31	"Mig"	"JUND"	"brain region: Entorhinal cortex"	"male"
"ENTPD1-AS11"	2.35708965713472e-35	1.48053998880159	0.295	0.052	7.91769986728125e-31	"Mig"	"ENTPD1-AS1"	"brain region: Entorhinal cortex"	"male"
"ABHD15-AS1"	2.56389678461454e-35	1.55646205286177	0.27	0.035	8.6123856891987e-31	"Mig"	"ABHD15-AS1"	"brain region: Entorhinal cortex"	"male"
"CH507-513H4.11"	9.34143430120855e-35	-1.68012566246751	0.055	0.18	3.13788119611896e-30	"Mig"	"CH507-513H4.1"	"brain region: Entorhinal cortex"	"male"
"MT-ATP62"	4.03172273951917e-34	-1.77585305099438	0.191	0.359	1.35429598543188e-29	"Mig"	"MT-ATP6"	"brain region: Entorhinal cortex"	"male"
"MEG32"	4.29162418537111e-33	-1.58022589238233	0.222	0.383	1.44159948010801e-28	"Mig"	"MEG3"	"brain region: Entorhinal cortex"	"male"
"PHYHIP2"	2.12767510970855e-32	-1.72643498523033	0.031	0.127	7.14707346102199e-28	"Mig"	"PHYHIP"	"brain region: Entorhinal cortex"	"male"
"MT-ND32"	1.13654023494068e-31	-1.56644170934925	0.23	0.396	3.81775230318925e-27	"Mig"	"MT-ND3"	"brain region: Entorhinal cortex"	"male"
"C1orf562"	1.41647437278322e-31	1.88608598467789	0.198	0.006	4.7580790656161e-27	"Mig"	"C1orf56"	"brain region: Entorhinal cortex"	"male"
"RP11-16C1.3"	2.38885898040123e-31	1.74308989268172	0.218	0.018	8.02441620106578e-27	"Mig"	"RP11-16C1.3"	"brain region: Entorhinal cortex"	"male"
"RP11-289H16.1"	3.27006482479564e-31	1.84485783392186	0.211	0.016	1.0984474752971e-26	"Mig"	"RP11-289H16.1"	"brain region: Entorhinal cortex"	"male"
"RP11-415J8.3"	3.60605156741685e-30	1.89826020264598	0.193	0.008	1.21130878201099e-25	"Mig"	"RP11-415J8.3"	"brain region: Entorhinal cortex"	"male"
"LAPTM5"	4.24738707643742e-30	-1.76566006288425	0.16	0.309	1.42673979284609e-25	"Mig"	"LAPTM5"	"brain region: Entorhinal cortex"	"male"
"ZFAND32"	1.37849365497645e-29	0.890022160067036	0.429	0.155	4.63049803643141e-25	"Mig"	"ZFAND3"	"brain region: Entorhinal cortex"	"male"
"ARHGAP15"	8.58439040076631e-29	0.782278047755502	0.444	0.167	2.88358257952141e-24	"Mig"	"ARHGAP15"	"brain region: Entorhinal cortex"	"male"
"MKRN3"	1.1792270381558e-28	1.78440164067953	0.19	0.011	3.96114154386916e-24	"Mig"	"MKRN3"	"brain region: Entorhinal cortex"	"male"
"XPO52"	1.33342810163515e-28	1.51081986845515	0.209	0.021	4.47911833620262e-24	"Mig"	"XPO5"	"brain region: Entorhinal cortex"	"male"
