"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"	"region"
"B3GAT1"	9.93034642646916e-08	-1.50694323842087	0.041	0.177	0.00106890248934514	"Ast"	"B3GAT1"	"AD"	"Entorhinal Cortex"
"RIC1"	9.94874225947526e-08	0.524341517925863	0.159	0.042	0.00107088261680992	"Ast"	"RIC1"	"AD"	"Entorhinal Cortex"
"NCKAP5"	9.99132750707499e-08	0.410772072013647	0.4	0.184	0.00107546649286155	"Ast"	"NCKAP5"	"AD"	"Entorhinal Cortex"
"PARP2"	1.01007931483613e-07	0.551469511912374	0.106	0.017	0.00108724937448961	"Ast"	"PARP2"	"AD"	"Entorhinal Cortex"
"XPO5"	1.02177300947481e-07	0.499044902146015	0.171	0.048	0.00109983646739869	"Ast"	"XPO5"	"AD"	"Entorhinal Cortex"
"PCMTD2"	1.03803706959026e-07	-1.44274000489905	0.012	0.132	0.00111734310170696	"Ast"	"PCMTD2"	"AD"	"Entorhinal Cortex"
"SUN1"	1.04532705066351e-07	0.502879070500418	0.253	0.094	0.0011251900373342	"Ast"	"SUN1"	"AD"	"Entorhinal Cortex"
"PPFIA2"	1.05837258714369e-07	0.338694003801541	0.343	0.15	0.00113923225280147	"Ast"	"PPFIA2"	"AD"	"Entorhinal Cortex"
"DAP3"	1.06141823952657e-07	0.421863816446602	0.2	0.063	0.0011425105930264	"Ast"	"DAP3"	"AD"	"Entorhinal Cortex"
"BAG3"	1.06386713000349e-07	-1.62413017823857	0.041	0.18	0.00114514657873576	"Ast"	"BAG3"	"AD"	"Entorhinal Cortex"
"GRK4"	1.0652784158398e-07	0.567907657672322	0.167	0.046	0.00114666568680996	"Ast"	"GRK4"	"AD"	"Entorhinal Cortex"
"SNED1"	1.06949258330413e-07	0.613044534381756	0.237	0.086	0.00115120181666856	"Ast"	"SNED1"	"AD"	"Entorhinal Cortex"
"NPIPB5"	1.0717039040128e-07	0.31995811828842	0.135	0.029	0.00115358208227938	"Ast"	"NPIPB5"	"AD"	"Entorhinal Cortex"
"CAMK1D"	1.08953590283224e-07	0.561928845969836	0.265	0.102	0.00117277644580862	"Ast"	"CAMK1D"	"AD"	"Entorhinal Cortex"
"MAP2K1"	1.09665337703632e-07	0.479390851637624	0.171	0.048	0.0011804376950419	"Ast"	"MAP2K1"	"AD"	"Entorhinal Cortex"
"ADGRV1"	1.10211108384373e-07	0.433181161655803	0.849	0.612	0.00118631237064939	"Ast"	"ADGRV1"	"AD"	"Entorhinal Cortex"
"MPP6"	1.11210952000996e-07	0.50449766734595	0.2	0.065	0.00119707468733872	"Ast"	"MPP6"	"AD"	"Entorhinal Cortex"
"EHBP1"	1.11546905320083e-07	0.204193554305872	0.416	0.19	0.00120069088886538	"Ast"	"EHBP1"	"AD"	"Entorhinal Cortex"
"NUMB"	1.13181175007028e-07	0.309451733502298	0.286	0.113	0.00121828216777565	"Ast"	"NUMB"	"AD"	"Entorhinal Cortex"
"BBS2"	1.13985488955629e-07	0.362932180855754	0.347	0.146	0.00122693980311839	"Ast"	"BBS2"	"AD"	"Entorhinal Cortex"
"BAZ1B"	1.15595768367438e-07	0.445674281652194	0.184	0.054	0.0012442728507071	"Ast"	"BAZ1B"	"AD"	"Entorhinal Cortex"
"JMJD1C"	1.1778981925684e-07	0.309348653473759	0.351	0.152	0.00126788961448063	"Ast"	"JMJD1C"	"AD"	"Entorhinal Cortex"
"L2HGDH"	1.19467180882667e-07	0.516579767575903	0.11	0.019	0.00128594473502103	"Ast"	"L2HGDH"	"AD"	"Entorhinal Cortex"
"PAN3"	1.22088214562428e-07	0.519882073898638	0.224	0.079	0.00131415754154998	"Ast"	"PAN3"	"AD"	"Entorhinal Cortex"
"SERPINH1"	1.25425555997192e-07	-1.42902122249481	0.004	0.115	0.00135008068475378	"Ast"	"SERPINH1"	"AD"	"Entorhinal Cortex"
"DYNLL2"	1.28603986379724e-07	-1.38040390931696	0.012	0.132	0.00138429330939135	"Ast"	"DYNLL2"	"AD"	"Entorhinal Cortex"
"WDR78"	1.28936979414284e-07	0.58111605316488	0.11	0.019	0.00138787764641535	"Ast"	"WDR78"	"AD"	"Entorhinal Cortex"
"NAA15"	1.31798451800227e-07	0.476480158735062	0.155	0.04	0.00141867853517764	"Ast"	"NAA15"	"AD"	"Entorhinal Cortex"
"C8orf34"	1.31944605890335e-07	0.819473983875103	0.135	0.031	0.00142025173780357	"Ast"	"C8orf34"	"AD"	"Entorhinal Cortex"
"SETD2"	1.31988168654279e-07	0.467014225516112	0.245	0.09	0.00142072064739466	"Ast"	"SETD2"	"AD"	"Entorhinal Cortex"
"ACAP2"	1.32350007929483e-07	0.295264476382447	0.384	0.169	0.00142461548535295	"Ast"	"ACAP2"	"AD"	"Entorhinal Cortex"
"DPF3"	1.33852405248986e-07	0.41547716143451	0.188	0.056	0.00144078729010009	"Ast"	"DPF3"	"AD"	"Entorhinal Cortex"
"PHF3"	1.35000424103765e-07	0.508896975184107	0.192	0.061	0.00145314456505292	"Ast"	"PHF3"	"AD"	"Entorhinal Cortex"
"PFKP"	1.3515480963975e-07	0.422699448714885	0.147	0.035	0.00145480637096227	"Ast"	"PFKP"	"AD"	"Entorhinal Cortex"
"SUZ12"	1.35614832259201e-07	0.398055476245918	0.204	0.065	0.00145975805443804	"Ast"	"SUZ12"	"AD"	"Entorhinal Cortex"
"KIF27"	1.48193532113415e-07	0.594951959099936	0.135	0.031	0.0015951551796688	"Ast"	"KIF27"	"AD"	"Entorhinal Cortex"
"NPC1"	1.48907989457909e-07	0.515511619087614	0.2	0.065	0.00160284559852493	"Ast"	"NPC1"	"AD"	"Entorhinal Cortex"
"GFAP"	1.57227308437889e-07	-0.575452134085509	0.91	0.864	0.00169239474802544	"Ast"	"GFAP"	"AD"	"Entorhinal Cortex"
"MYLPF"	1.62755531255187e-07	-1.33063756715878	0.024	0.15	0.00175190053843083	"Ast"	"MYLPF"	"AD"	"Entorhinal Cortex"
"SPG7"	1.62759767215416e-07	0.393735020707927	0.269	0.104	0.00175194613430674	"Ast"	"SPG7"	"AD"	"Entorhinal Cortex"
"DPYSL3"	1.67465428582062e-07	0.281356878103038	0.294	0.117	0.00180259787325731	"Ast"	"DPYSL3"	"AD"	"Entorhinal Cortex"
"PLEKHG1"	1.70959118156734e-07	0.499944685609524	0.216	0.075	0.00184020394783908	"Ast"	"PLEKHG1"	"AD"	"Entorhinal Cortex"
"WDR11"	1.73009049467111e-07	0.495920311432369	0.229	0.081	0.00186226940846398	"Ast"	"WDR11"	"AD"	"Entorhinal Cortex"
"AASDH"	1.77124716707848e-07	0.427001633839282	0.176	0.052	0.00190657045064328	"Ast"	"AASDH"	"AD"	"Entorhinal Cortex"
"B3GAT2"	1.78321067410238e-07	0.643830612850934	0.163	0.046	0.0019194479696038	"Ast"	"B3GAT2"	"AD"	"Entorhinal Cortex"
"ACSS3"	1.81646084886208e-07	0.417747577504538	0.286	0.115	0.00195523845771515	"Ast"	"ACSS3"	"AD"	"Entorhinal Cortex"
"KPNA1"	1.83136873151718e-07	0.530429324646	0.122	0.025	0.00197128530260509	"Ast"	"KPNA1"	"AD"	"Entorhinal Cortex"
"WDR60"	1.86133863905679e-07	0.323834621305938	0.257	0.094	0.00200354491108073	"Ast"	"WDR60"	"AD"	"Entorhinal Cortex"
"SCLT1"	1.87125489857997e-07	0.401413127391278	0.159	0.042	0.00201421877283148	"Ast"	"SCLT1"	"AD"	"Entorhinal Cortex"
"ITFG1"	1.90962239761474e-07	0.227109327014703	0.38	0.167	0.00205551754879251	"Ast"	"ITFG1"	"AD"	"Entorhinal Cortex"
"RUFY1"	1.9108429152293e-07	0.371748469802686	0.122	0.025	0.00205683131395282	"Ast"	"RUFY1"	"AD"	"Entorhinal Cortex"
"LPP"	1.93280338131554e-07	0.383511454806952	0.563	0.305	0.00208046955964804	"Ast"	"LPP"	"AD"	"Entorhinal Cortex"
"ST6GALNAC6"	1.98111872404931e-07	-1.47491747909108	0.037	0.167	0.00213247619456668	"Ast"	"ST6GALNAC6"	"AD"	"Entorhinal Cortex"
"NT5C2"	2.0095480621723e-07	0.30839172294163	0.314	0.136	0.00216307753412226	"Ast"	"NT5C2"	"AD"	"Entorhinal Cortex"
"CDK14"	2.07772084030252e-07	0.428692240441474	0.245	0.092	0.00223645871250163	"Ast"	"CDK14"	"AD"	"Entorhinal Cortex"
"BCOR"	2.15093989148903e-07	-1.42257110424755	0.061	0.198	0.00231527169919879	"Ast"	"BCOR"	"AD"	"Entorhinal Cortex"
"ANLN"	2.18123257011841e-07	-1.41971677527746	0.033	0.161	0.00234787873847545	"Ast"	"ANLN"	"AD"	"Entorhinal Cortex"
"DDRGK1"	2.20228086482949e-07	0.457902527113604	0.204	0.069	0.00237053512290246	"Ast"	"DDRGK1"	"AD"	"Entorhinal Cortex"
"MTA1"	2.2112633861726e-07	0.45427468400854	0.196	0.063	0.00238020390887619	"Ast"	"MTA1"	"AD"	"Entorhinal Cortex"
"HP1BP3"	2.22921990277184e-07	-1.45248407916123	0.102	0.251	0.0023995323033436	"Ast"	"HP1BP3"	"AD"	"Entorhinal Cortex"
"PIGL"	2.24102533613338e-07	0.42159483653898	0.131	0.029	0.00241223967181397	"Ast"	"PIGL"	"AD"	"Entorhinal Cortex"
"NTRK2"	2.26713176650171e-07	0.36538479035699	0.8	0.501	0.00244034063346245	"Ast"	"NTRK2"	"AD"	"Entorhinal Cortex"
"ATP5C1"	2.2697183067756e-07	0.275019992822097	0.143	0.035	0.00244312478541325	"Ast"	"ATP5C1"	"AD"	"Entorhinal Cortex"
"OARD1"	2.27243103840031e-07	0.50588429867552	0.135	0.031	0.0024460447697341	"Ast"	"OARD1"	"AD"	"Entorhinal Cortex"
"ZC2HC1A"	2.31895230040667e-07	0.426488364595338	0.171	0.05	0.00249612025615774	"Ast"	"ZC2HC1A"	"AD"	"Entorhinal Cortex"
"ANKFY1"	2.34688146488032e-07	0.364378688691427	0.2	0.067	0.00252618320879717	"Ast"	"ANKFY1"	"AD"	"Entorhinal Cortex"
"MTCH2"	2.41568037580189e-07	0.513300972661014	0.147	0.038	0.00260023835651315	"Ast"	"MTCH2"	"AD"	"Entorhinal Cortex"
"ARFGEF2"	2.45863027594991e-07	0.427820737731594	0.147	0.038	0.00264646962903248	"Ast"	"ARFGEF2"	"AD"	"Entorhinal Cortex"
"TYW1"	2.45863285855037e-07	0.473120687141513	0.147	0.038	0.00264647240894362	"Ast"	"TYW1"	"AD"	"Entorhinal Cortex"
"MSI2"	2.46925174551713e-07	0.348370179803017	0.673	0.384	0.00265790257887464	"Ast"	"MSI2"	"AD"	"Entorhinal Cortex"
"RGL1"	2.52206215355005e-07	0.342890451554742	0.294	0.119	0.00271474770208128	"Ast"	"RGL1"	"AD"	"Entorhinal Cortex"
"DENND4C"	2.55296374353357e-07	0.380384281417014	0.196	0.063	0.00274801017353953	"Ast"	"DENND4C"	"AD"	"Entorhinal Cortex"
"ANKRD36"	2.62040055353357e-07	0.580685120955957	0.176	0.054	0.00282059915582353	"Ast"	"ANKRD36"	"AD"	"Entorhinal Cortex"
"GTF2IRD2"	2.62985899117793e-07	0.438981200861534	0.139	0.033	0.00283078021810392	"Ast"	"GTF2IRD2"	"AD"	"Entorhinal Cortex"
"WDFY2"	2.67381388832972e-07	0.286109101633213	0.347	0.157	0.00287809326939811	"Ast"	"WDFY2"	"AD"	"Entorhinal Cortex"
"ASTN2"	2.6915816130069e-07	0.458812350116634	0.453	0.23	0.00289721844824063	"Ast"	"ASTN2"	"AD"	"Entorhinal Cortex"
"PDGFRB"	2.71754209629387e-07	0.330181455447478	0.229	0.081	0.00292516231245073	"Ast"	"PDGFRB"	"AD"	"Entorhinal Cortex"
"ZNF423"	2.74981063071974e-07	0.470931006561708	0.102	0.017	0.00295989616290673	"Ast"	"ZNF423"	"AD"	"Entorhinal Cortex"
"PAPLN"	2.76317493856462e-07	0.523590818204666	0.224	0.081	0.00297428150387096	"Ast"	"PAPLN"	"AD"	"Entorhinal Cortex"
"TPR"	2.78895571093142e-07	0.483987768170849	0.143	0.035	0.00300203192724658	"Ast"	"TPR"	"AD"	"Entorhinal Cortex"
"SIPA1L3"	2.84554736803344e-07	0.597802267721268	0.2	0.069	0.0030629471869512	"Ast"	"SIPA1L3"	"AD"	"Entorhinal Cortex"
"SERF2"	2.87993466305912e-07	-1.32251235477707	0.114	0.263	0.00309996167131684	"Ast"	"SERF2"	"AD"	"Entorhinal Cortex"
"RP11-317J19.1"	2.89006919278811e-07	0.583384614743169	0.11	0.021	0.00311087047911712	"Ast"	"RP11-317J19.1"	"AD"	"Entorhinal Cortex"
"TCF25"	2.92674742156199e-07	0.460783840507447	0.331	0.144	0.00315035092456933	"Ast"	"TCF25"	"AD"	"Entorhinal Cortex"
"GBAS"	2.97108551040303e-07	0.415616237928495	0.22	0.077	0.00319807644339782	"Ast"	"GBAS"	"AD"	"Entorhinal Cortex"
"AP1S2"	3.04312328531274e-07	0.535729244841968	0.184	0.058	0.00327561790431063	"Ast"	"AP1S2"	"AD"	"Entorhinal Cortex"
"ATP6AP1L"	3.09000532021319e-07	0.342823100041565	0.167	0.048	0.00332608172667747	"Ast"	"ATP6AP1L"	"AD"	"Entorhinal Cortex"
"USP32"	3.10015952318255e-07	0.596357944727235	0.171	0.052	0.0033370117107537	"Ast"	"USP32"	"AD"	"Entorhinal Cortex"
"UBE2E1"	3.10178412633151e-07	0.372673113640471	0.159	0.044	0.00333876043358324	"Ast"	"UBE2E1"	"AD"	"Entorhinal Cortex"
"BCAT2"	3.12045114998847e-07	0.508073478962023	0.265	0.109	0.00335885361784759	"Ast"	"BCAT2"	"AD"	"Entorhinal Cortex"
"GPC5"	3.20469312404514e-07	0.382765343379488	0.841	0.574	0.00344953167872219	"Ast"	"GPC5"	"AD"	"Entorhinal Cortex"
"PRTG"	3.25638309969701e-07	0.539219868936218	0.106	0.019	0.00350517076851386	"Ast"	"PRTG"	"AD"	"Entorhinal Cortex"
"ITGB8"	3.25673373169148e-07	0.481305900810399	0.376	0.18	0.00350554818879271	"Ast"	"ITGB8"	"AD"	"Entorhinal Cortex"
"PAQR3"	3.29492952640468e-07	0.737341399884653	0.139	0.035	0.003546662142222	"Ast"	"PAQR3"	"AD"	"Entorhinal Cortex"
"STOX1"	3.33738232576492e-07	0.444019424374569	0.204	0.069	0.00359235833545336	"Ast"	"STOX1"	"AD"	"Entorhinal Cortex"
"NR2C1"	3.3595732060213e-07	0.286015986845393	0.139	0.033	0.00361624459896133	"Ast"	"NR2C1"	"AD"	"Entorhinal Cortex"
"GDI1"	3.37871272106242e-07	-1.46527125051898	0.155	0.299	0.00363684637295159	"Ast"	"GDI1"	"AD"	"Entorhinal Cortex"
"WAC"	3.46189533670145e-07	0.241636151647162	0.269	0.106	0.00372638414042544	"Ast"	"WAC"	"AD"	"Entorhinal Cortex"
"MLLT10"	3.50913602896854e-07	0.402690703145534	0.294	0.125	0.00377723402158173	"Ast"	"MLLT10"	"AD"	"Entorhinal Cortex"
"LARP7"	3.63220035264443e-07	0.454530262480253	0.188	0.061	0.00390970045958646	"Ast"	"LARP7"	"AD"	"Entorhinal Cortex"
"IPO9-AS1"	3.63273427008343e-07	0.601819856104068	0.114	0.023	0.0039102751683178	"Ast"	"IPO9-AS1"	"AD"	"Entorhinal Cortex"
"ATP8B2"	3.68179188289534e-07	0.489073592482598	0.11	0.021	0.00396308078274855	"Ast"	"ATP8B2"	"AD"	"Entorhinal Cortex"
"EVA1C"	3.6882751517086e-07	0.430987609673591	0.176	0.054	0.00397005937329914	"Ast"	"EVA1C"	"AD"	"Entorhinal Cortex"
"RNF24"	3.7093907568141e-07	0.401755703293732	0.204	0.069	0.00399278821063469	"Ast"	"RNF24"	"AD"	"Entorhinal Cortex"
"FAM174B"	3.7541323719854e-07	0.530877228553963	0.114	0.023	0.00404094808520508	"Ast"	"FAM174B"	"AD"	"Entorhinal Cortex"
"CALD1"	3.76504662603131e-07	0.467908335906953	0.208	0.073	0.0040526961882601	"Ast"	"CALD1"	"AD"	"Entorhinal Cortex"
"HFM1"	3.77315230915837e-07	0.454924309698344	0.114	0.023	0.00406142114557807	"Ast"	"HFM1"	"AD"	"Entorhinal Cortex"
"ZFAND6"	3.80459456290505e-07	0.496921326482667	0.176	0.054	0.004095265587511	"Ast"	"ZFAND6"	"AD"	"Entorhinal Cortex"
"ST6GAL1"	3.81447018974252e-07	0.536049721015945	0.184	0.058	0.00410589571223885	"Ast"	"ST6GAL1"	"AD"	"Entorhinal Cortex"
"MAGI3"	3.81755210925086e-07	0.371168962158078	0.224	0.081	0.00410921309039763	"Ast"	"MAGI3"	"AD"	"Entorhinal Cortex"
"PREX2"	3.83586047421813e-07	0.197363262844258	0.469	0.232	0.00412892021444839	"Ast"	"PREX2"	"AD"	"Entorhinal Cortex"
"CDC14A"	3.86894601940985e-07	0.361404845619803	0.298	0.125	0.00416453349529277	"Ast"	"CDC14A"	"AD"	"Entorhinal Cortex"
"TAOK3"	3.93347226887689e-07	0.218909058153929	0.351	0.152	0.00423398955021908	"Ast"	"TAOK3"	"AD"	"Entorhinal Cortex"
"LPAR4"	3.97108300982476e-07	0.510930808283923	0.118	0.025	0.00427447375177537	"Ast"	"LPAR4"	"AD"	"Entorhinal Cortex"
"RSRP1"	4.04047677984339e-07	0.339120519182528	0.29	0.119	0.00434916920582342	"Ast"	"RSRP1"	"AD"	"Entorhinal Cortex"
"RILPL1"	4.06292086186887e-07	0.425423481633409	0.18	0.056	0.00437332801571565	"Ast"	"RILPL1"	"AD"	"Entorhinal Cortex"
"MATN2"	4.09378127092576e-07	0.380527418419664	0.233	0.088	0.00440654616002449	"Ast"	"MATN2"	"AD"	"Entorhinal Cortex"
"PRPF4B"	4.13317122490705e-07	0.508167874032801	0.171	0.052	0.00444894550648995	"Ast"	"PRPF4B"	"AD"	"Entorhinal Cortex"
"KIAA1841"	4.17362827694602e-07	0.583092225868904	0.131	0.031	0.0044924934773047	"Ast"	"KIAA1841"	"AD"	"Entorhinal Cortex"
"RAB7A"	4.18727681443357e-07	0.378848848896079	0.261	0.104	0.00450718476305629	"Ast"	"RAB7A"	"AD"	"Entorhinal Cortex"
"WDPCP"	4.22736181875842e-07	0.38596214350062	0.257	0.102	0.00455033226171157	"Ast"	"WDPCP"	"AD"	"Entorhinal Cortex"
"PRKCE"	4.24914442576373e-07	0.362555614704521	0.192	0.063	0.00457377905989208	"Ast"	"PRKCE"	"AD"	"Entorhinal Cortex"
"ADK"	4.25012574982753e-07	0.390803127978478	0.229	0.084	0.00457483535711435	"Ast"	"ADK"	"AD"	"Entorhinal Cortex"
"MT1G"	4.27077621178105e-07	0.602823548815246	0.241	0.094	0.00459706351436112	"Ast"	"MT1G"	"AD"	"Entorhinal Cortex"
"BTBD9"	4.27191823760145e-07	0.261932400357958	0.302	0.125	0.00459829279095421	"Ast"	"BTBD9"	"AD"	"Entorhinal Cortex"
"ETFDH"	4.2764085159399e-07	0.553418869649123	0.127	0.029	0.00460312612655771	"Ast"	"ETFDH"	"AD"	"Entorhinal Cortex"
"ADCY2"	4.35381504925167e-07	0.312395862299521	0.849	0.57	0.00468644651901449	"Ast"	"ADCY2"	"AD"	"Entorhinal Cortex"
"ATP5I"	4.360980019136e-07	-1.39807881413188	0.053	0.186	0.00469415889259799	"Ast"	"ATP5I"	"AD"	"Entorhinal Cortex"
"CRIP2"	4.36516913537893e-07	0.350456005361803	0.229	0.084	0.00469866805732189	"Ast"	"CRIP2"	"AD"	"Entorhinal Cortex"
"HEPN1"	4.3906638940428e-07	0.510314867942288	0.131	0.031	0.00472611061554767	"Ast"	"HEPN1"	"AD"	"Entorhinal Cortex"
"MYO9A"	4.41005265221936e-07	0.304484605802734	0.38	0.18	0.00474698067484892	"Ast"	"MYO9A"	"AD"	"Entorhinal Cortex"
"RPAP2"	4.41904422874312e-07	0.411697332928082	0.184	0.058	0.0047566592078191	"Ast"	"RPAP2"	"AD"	"Entorhinal Cortex"
"AASS"	4.42562990001579e-07	0.408922072717368	0.122	0.027	0.004763748024377	"Ast"	"AASS"	"AD"	"Entorhinal Cortex"
"ABCA2"	4.45436615093691e-07	-1.27717619533083	0.245	0.38	0.00479467972486849	"Ast"	"ABCA2"	"AD"	"Entorhinal Cortex"
"ECHDC2"	4.48430271248764e-07	0.45740012183418	0.298	0.129	0.0048269034397217	"Ast"	"ECHDC2"	"AD"	"Entorhinal Cortex"
"KLHL23"	4.48641141929902e-07	0.522815535970257	0.159	0.046	0.00482917325173347	"Ast"	"KLHL23"	"AD"	"Entorhinal Cortex"
"IGSF11"	4.54012382036569e-07	0.366890678344347	0.327	0.148	0.00488698928024163	"Ast"	"IGSF11"	"AD"	"Entorhinal Cortex"
"ID4"	4.65482839210599e-07	0.457431236380051	0.22	0.081	0.00501045728126288	"Ast"	"ID4"	"AD"	"Entorhinal Cortex"
"CFAP44"	4.6699560969124e-07	0.460202814534791	0.118	0.025	0.00502674074271651	"Ast"	"CFAP44"	"AD"	"Entorhinal Cortex"
"XPO4"	4.75553170786481e-07	0.442587121579376	0.122	0.027	0.00511885433034568	"Ast"	"XPO4"	"AD"	"Entorhinal Cortex"
"AHCYL1"	4.89168088120936e-07	0.284500217302075	0.71	0.42	0.00526540530053375	"Ast"	"AHCYL1"	"AD"	"Entorhinal Cortex"
"WLS"	5.0053330258037e-07	0.392425445536559	0.318	0.142	0.0053877404689751	"Ast"	"WLS"	"AD"	"Entorhinal Cortex"
"KCNJ3"	5.01850694505898e-07	0.503836931407652	0.135	0.033	0.00540192087566149	"Ast"	"KCNJ3"	"AD"	"Entorhinal Cortex"
"MAP4"	5.11275343908817e-07	0.340212151429356	0.408	0.198	0.00550336780183451	"Ast"	"MAP4"	"AD"	"Entorhinal Cortex"
"LGI3"	5.21516055624491e-07	-1.29355511986581	0.012	0.121	0.00561359882274202	"Ast"	"LGI3"	"AD"	"Entorhinal Cortex"
"PPIL2"	5.23069043660463e-07	0.347096895890306	0.143	0.038	0.00563031518596122	"Ast"	"PPIL2"	"AD"	"Entorhinal Cortex"
"KDM6A"	5.32229398026725e-07	0.426677889741374	0.18	0.056	0.00572891724035967	"Ast"	"KDM6A"	"AD"	"Entorhinal Cortex"
"CLK1"	5.36650224698519e-07	-1.45275956609286	0.249	0.372	0.00577650301865485	"Ast"	"CLK1"	"AD"	"Entorhinal Cortex"
"PCBP4"	5.40865936819397e-07	-1.50683217359192	0.057	0.188	0.00582188094392399	"Ast"	"PCBP4"	"AD"	"Entorhinal Cortex"
"KATNAL2"	5.43611087977678e-07	0.333459053076666	0.163	0.048	0.00585142975099173	"Ast"	"KATNAL2"	"AD"	"Entorhinal Cortex"
"SLMAP"	5.51075987445256e-07	0.0394935643521352	0.273	0.111	0.00593178192886074	"Ast"	"SLMAP"	"AD"	"Entorhinal Cortex"
"CCAR1"	5.57824183817057e-07	0.278166702775562	0.208	0.073	0.0060044195146068	"Ast"	"CCAR1"	"AD"	"Entorhinal Cortex"
"THSD7A"	5.60735720980934e-07	0.396286386037912	0.208	0.073	0.00603575930063878	"Ast"	"THSD7A"	"AD"	"Entorhinal Cortex"
"CNTRL"	5.62008578747169e-07	0.388527636984927	0.122	0.027	0.00604946034163453	"Ast"	"CNTRL"	"AD"	"Entorhinal Cortex"
"TTTY14"	5.63544820442521e-07	-1.23319884583826	0.004	0.104	0.0060659964472433	"Ast"	"TTTY14"	"AD"	"Entorhinal Cortex"
"PAK1"	5.68845515569751e-07	0.463489490761441	0.131	0.031	0.0061230531295928	"Ast"	"PAK1"	"AD"	"Entorhinal Cortex"
"GGNBP2"	5.71020635959767e-07	0.507051349878433	0.139	0.035	0.00614646612547094	"Ast"	"GGNBP2"	"AD"	"Entorhinal Cortex"
"ZBTB16"	5.74357845674665e-07	0.457284210104435	0.22	0.081	0.0061823878508421	"Ast"	"ZBTB16"	"AD"	"Entorhinal Cortex"
"EEF1D"	5.7486484403432e-07	-1.5428726577919	0.078	0.213	0.00618784518118542	"Ast"	"EEF1D"	"AD"	"Entorhinal Cortex"
"THBS4"	5.77320714127154e-07	0.406022791879585	0.167	0.05	0.00621428016686469	"Ast"	"THBS4"	"AD"	"Entorhinal Cortex"
"CHI3L1"	5.89626932858251e-07	-1.60799559443987	0.098	0.242	0.00634674430528622	"Ast"	"CHI3L1"	"AD"	"Entorhinal Cortex"
"POT1"	5.97672007543881e-07	0.406462777797819	0.135	0.033	0.00643334148920234	"Ast"	"POT1"	"AD"	"Entorhinal Cortex"
"BRWD1"	6.42525921415068e-07	0.454155007057052	0.245	0.098	0.00691614901811179	"Ast"	"BRWD1"	"AD"	"Entorhinal Cortex"
"TUBA1A"	6.48061803237377e-07	-1.17689069741503	0.204	0.355	0.00697573725004713	"Ast"	"TUBA1A"	"AD"	"Entorhinal Cortex"
"SNX19"	6.66205434899902e-07	0.40649676106296	0.176	0.056	0.00717103530126254	"Ast"	"SNX19"	"AD"	"Entorhinal Cortex"
"RORA"	6.77310976981832e-07	0.305630038619788	0.906	0.641	0.00729057535623244	"Ast"	"RORA"	"AD"	"Entorhinal Cortex"
"ENPP2"	6.85683490404456e-07	-1.41898974838003	0.041	0.165	0.00738069709071357	"Ast"	"ENPP2"	"AD"	"Entorhinal Cortex"
"DOCK4"	6.91376963737542e-07	0.232491250246408	0.792	0.478	0.0074419816376709	"Ast"	"DOCK4"	"AD"	"Entorhinal Cortex"
"SOX10"	6.92020788045859e-07	-1.29569747677985	0.012	0.119	0.00744891176252562	"Ast"	"SOX10"	"AD"	"Entorhinal Cortex"
"PPIG"	7.03921389564978e-07	0.36105041072744	0.151	0.042	0.00757700983727743	"Ast"	"PPIG"	"AD"	"Entorhinal Cortex"
"SGCD"	7.4974371258348e-07	0.435197401389177	0.273	0.115	0.00807024132224858	"Ast"	"SGCD"	"AD"	"Entorhinal Cortex"
"PHF21B"	7.61324382996928e-07	0.34202171497495	0.282	0.119	0.00819489565857894	"Ast"	"PHF21B"	"AD"	"Entorhinal Cortex"
"CPNE8"	7.63634294249198e-07	0.358153636500028	0.233	0.088	0.00821975954329837	"Ast"	"CPNE8"	"AD"	"Entorhinal Cortex"
"SRSF6"	7.65622532263007e-07	-1.37312385831398	0.041	0.163	0.00824116093727901	"Ast"	"SRSF6"	"AD"	"Entorhinal Cortex"
"TECPR2"	7.72460930628188e-07	0.39875953355153	0.245	0.096	0.00831476945728181	"Ast"	"TECPR2"	"AD"	"Entorhinal Cortex"
"TAOK1"	7.77620649037325e-07	0.232203981845798	0.282	0.117	0.00837030866623777	"Ast"	"TAOK1"	"AD"	"Entorhinal Cortex"
"CADM2"	7.93846813471944e-07	-0.858319028178105	0.718	0.676	0.008544967100212	"Ast"	"CADM2"	"AD"	"Entorhinal Cortex"
"TBL1X"	7.95412053194867e-07	0.402113131545988	0.257	0.104	0.00856181534058955	"Ast"	"TBL1X"	"AD"	"Entorhinal Cortex"
"CHD9"	7.96569075800243e-07	0.306138730557778	0.445	0.223	0.00857426953191381	"Ast"	"CHD9"	"AD"	"Entorhinal Cortex"
"WRN"	7.99266521103095e-07	0.372999846767071	0.188	0.063	0.00860330483315371	"Ast"	"WRN"	"AD"	"Entorhinal Cortex"
"RERE"	8.15823930395333e-07	0.1501418890105	0.424	0.205	0.00878152878677537	"Ast"	"RERE"	"AD"	"Entorhinal Cortex"
"GSK3B"	8.5601638465794e-07	0.461826783558684	0.208	0.075	0.00921416036445807	"Ast"	"GSK3B"	"AD"	"Entorhinal Cortex"
"CTD-2537O9.1"	8.74618228666048e-07	0.581182522869516	0.122	0.029	0.00941439061336135	"Ast"	"CTD-2537O9.1"	"AD"	"Entorhinal Cortex"
