"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"	"region"
"PPDPF"	0.799943416155592	0.382351791881019	0.142	0.147	1	"Ast"	"PPDPF"	"male"	"Entorhinal Cortex"
"PFKL"	0.802452154040453	0.444524585154691	0.148	0.167	1	"Ast"	"PFKL"	"male"	"Entorhinal Cortex"
"PMP22"	0.804133861303524	0.570747713074656	0.215	0.235	1	"Ast"	"PMP22"	"male"	"Entorhinal Cortex"
"CTNNA1"	0.809341717040911	0.52585177950298	0.18	0.193	1	"Ast"	"CTNNA1"	"male"	"Entorhinal Cortex"
"CCND3"	0.81604894773776	0.439799634111187	0.113	0.116	1	"Ast"	"CCND3"	"male"	"Entorhinal Cortex"
"COX6B1"	0.816871214549789	0.359877437892979	0.104	0.115	1	"Ast"	"COX6B1"	"male"	"Entorhinal Cortex"
"TRA2A"	0.8183025128213	0.488178796594349	0.246	0.28	1	"Ast"	"TRA2A"	"male"	"Entorhinal Cortex"
"TPI1"	0.81856558739042	0.490835776269185	0.121	0.126	1	"Ast"	"TPI1"	"male"	"Entorhinal Cortex"
"NENF"	0.818993058592849	0.51549033701709	0.104	0.108	1	"Ast"	"NENF"	"male"	"Entorhinal Cortex"
"CDK19"	0.820016855202511	0.44718900222445	0.132	0.145	1	"Ast"	"CDK19"	"male"	"Entorhinal Cortex"
"SPOCK3"	0.821184416129582	0.511110313531009	0.136	0.143	1	"Ast"	"SPOCK3"	"male"	"Entorhinal Cortex"
"PALM"	0.826380820679891	0.55546112537934	0.188	0.203	1	"Ast"	"PALM"	"male"	"Entorhinal Cortex"
"TMEM144"	0.826678630266959	0.447074930661164	0.215	0.245	1	"Ast"	"TMEM144"	"male"	"Entorhinal Cortex"
"VAPA"	0.831539730942896	0.576998515496034	0.125	0.137	1	"Ast"	"VAPA"	"male"	"Entorhinal Cortex"
"PARD3"	0.833310017074457	0.348272604305049	0.509	0.661	1	"Ast"	"PARD3"	"male"	"Entorhinal Cortex"
"COL27A1"	0.833640200567923	0.33244669341077	0.106	0.116	1	"Ast"	"COL27A1"	"male"	"Entorhinal Cortex"
"SF1"	0.847583728669236	0.410292812928639	0.194	0.222	1	"Ast"	"SF1"	"male"	"Entorhinal Cortex"
"ROGDI"	0.853031929915264	0.525115639212231	0.119	0.132	1	"Ast"	"ROGDI"	"male"	"Entorhinal Cortex"
"BSG"	0.854975715547967	0.39270294276038	0.219	0.252	1	"Ast"	"BSG"	"male"	"Entorhinal Cortex"
"ATP5B"	0.854998903374438	0.375268646840799	0.106	0.109	1	"Ast"	"ATP5B"	"male"	"Entorhinal Cortex"
"PREPL"	0.859025932217253	0.381312234660206	0.134	0.145	1	"Ast"	"PREPL"	"male"	"Entorhinal Cortex"
"TNS2"	0.86006879241441	0.294978193321776	0.094	0.101	1	"Ast"	"TNS2"	"male"	"Entorhinal Cortex"
"PLD3"	0.863349520314945	0.415525625355673	0.121	0.134	1	"Ast"	"PLD3"	"male"	"Entorhinal Cortex"
"MPHOSPH8"	0.863437121653982	0.365114507797128	0.152	0.166	1	"Ast"	"MPHOSPH8"	"male"	"Entorhinal Cortex"
"SLC7A11"	0.864415944265478	0.441902392728553	0.363	0.453	1	"Ast"	"SLC7A11"	"male"	"Entorhinal Cortex"
"HNRNPA3"	0.866207719372046	0.588131090866794	0.182	0.202	1	"Ast"	"HNRNPA3"	"male"	"Entorhinal Cortex"
"TENM4"	0.867917224663155	0.484879025037654	0.184	0.2	1	"Ast"	"TENM4"	"male"	"Entorhinal Cortex"
"SFSWAP"	0.86933779862451	0.374309629469997	0.1	0.109	1	"Ast"	"SFSWAP"	"male"	"Entorhinal Cortex"
"DKK3"	0.876677465319013	0.498979805879745	0.223	0.259	1	"Ast"	"DKK3"	"male"	"Entorhinal Cortex"
"PPP2R2A"	0.883642732262205	0.411952414758705	0.098	0.107	1	"Ast"	"PPP2R2A"	"male"	"Entorhinal Cortex"
"FDFT1"	0.887303623218215	0.34576747657518	0.127	0.132	1	"Ast"	"FDFT1"	"male"	"Entorhinal Cortex"
"HNRNPA2B1"	0.893079964846202	0.504410596403021	0.29	0.343	1	"Ast"	"HNRNPA2B1"	"male"	"Entorhinal Cortex"
"SYT11"	0.893651004781069	0.483135547117089	0.18	0.196	1	"Ast"	"SYT11"	"male"	"Entorhinal Cortex"
"EIF4A2"	0.90013395593287	0.568440933120873	0.148	0.16	1	"Ast"	"EIF4A2"	"male"	"Entorhinal Cortex"
"CTTN"	0.907141584765952	0.447539823855191	0.142	0.149	1	"Ast"	"CTTN"	"male"	"Entorhinal Cortex"
"AGO2"	0.910160364857712	0.406565396067562	0.125	0.138	1	"Ast"	"AGO2"	"male"	"Entorhinal Cortex"
"ST18"	0.911739372675638	0.516638955763248	0.173	0.191	1	"Ast"	"ST18"	"male"	"Entorhinal Cortex"
"ENAH"	0.920960489915587	0.528711720491567	0.154	0.164	1	"Ast"	"ENAH"	"male"	"Entorhinal Cortex"
"SCD5"	0.92209383583069	0.372172241812297	0.361	0.434	1	"Ast"	"SCD5"	"male"	"Entorhinal Cortex"
"SIRPA"	0.931211427067167	0.464154881911662	0.203	0.229	1	"Ast"	"SIRPA"	"male"	"Entorhinal Cortex"
"COL21A1"	0.944640121164258	0.434306738220192	0.117	0.124	1	"Ast"	"COL21A1"	"male"	"Entorhinal Cortex"
"DNAJC6"	0.947085635954665	0.389364742870926	0.134	0.145	1	"Ast"	"DNAJC6"	"male"	"Entorhinal Cortex"
"MRPS5"	0.954971903969364	0.509321730196669	0.111	0.117	1	"Ast"	"MRPS5"	"male"	"Entorhinal Cortex"
"C10orf54"	0.958338541440231	0.515843761287203	0.119	0.127	1	"Ast"	"C10orf54"	"male"	"Entorhinal Cortex"
"CNN3"	0.960058204824545	0.405576695731827	0.177	0.196	1	"Ast"	"CNN3"	"male"	"Entorhinal Cortex"
"EDF1"	0.964752687413342	0.434843112712072	0.136	0.147	1	"Ast"	"EDF1"	"male"	"Entorhinal Cortex"
"TMBIM6"	0.965235165027118	0.426689788474139	0.182	0.2	1	"Ast"	"TMBIM6"	"male"	"Entorhinal Cortex"
"NFIC"	0.96838237392789	0.469531579714286	0.104	0.109	1	"Ast"	"NFIC"	"male"	"Entorhinal Cortex"
"PLCG1"	0.969508973210755	0.44818528107884	0.142	0.153	1	"Ast"	"PLCG1"	"male"	"Entorhinal Cortex"
"CKB"	0.969966800319522	0.32900785610956	0.526	0.672	1	"Ast"	"CKB"	"male"	"Entorhinal Cortex"
"AKT2"	0.971869997928758	0.425396012341106	0.146	0.157	1	"Ast"	"AKT2"	"male"	"Entorhinal Cortex"
"HDDC2"	0.981384122955072	0.30755107750693	0.098	0.103	1	"Ast"	"HDDC2"	"male"	"Entorhinal Cortex"
"TMEM132A"	0.982707343856667	0.481364265311873	0.157	0.17	1	"Ast"	"TMEM132A"	"male"	"Entorhinal Cortex"
"PRUNE2"	0.984261717514702	0.392082454013467	0.134	0.142	1	"Ast"	"PRUNE2"	"male"	"Entorhinal Cortex"
"GNA12"	0.984529730684344	0.252717690405869	0.1	0.104	1	"Ast"	"GNA12"	"male"	"Entorhinal Cortex"
"MYBPC1"	0.988051783916504	0.377748012776207	0.15	0.162	1	"Ast"	"MYBPC1"	"male"	"Entorhinal Cortex"
"MACF1"	0.994791758940409	0.197709132061597	0.645	0.852	1	"Ast"	"MACF1"	"male"	"Entorhinal Cortex"
"SLC27A1"	0.99766841601596	0.585592192027869	0.203	0.232	1	"Ast"	"SLC27A1"	"male"	"Entorhinal Cortex"
"ATP6V0E1"	0.999275239761302	0.464799386240929	0.102	0.11	1	"Ast"	"ATP6V0E1"	"male"	"Entorhinal Cortex"
"LINGO11"	1.36236565365563e-59	3.91690127444567	0.946	0.313	1.46645038959492e-55	"Mig"	"LINGO1"	"male"	"Entorhinal Cortex"
"LINC004861"	1.28297512945572e-56	2.07239161712077	1	0.985	1.38099442934614e-52	"Mig"	"LINC00486"	"male"	"Entorhinal Cortex"
"MALAT11"	3.25610204601959e-38	-1.02308991992125	1	1	3.50486824233549e-34	"Mig"	"MALAT1"	"male"	"Entorhinal Cortex"
"FRMD4A1"	4.48633800938942e-37	-2.38778083334691	0.272	0.908	4.82909423330677e-33	"Mig"	"FRMD4A"	"male"	"Entorhinal Cortex"
"MT-ND41"	1.86799934598814e-27	2.9262834461833	0.626	0.16	2.01071449602163e-23	"Mig"	"MT-ND4"	"male"	"Entorhinal Cortex"
"RP11-624C23.1"	6.453972912131e-25	-2.36721143616192	0.102	0.664	6.94705644261781e-21	"Mig"	"RP11-624C23.1"	"male"	"Entorhinal Cortex"
"MT-CO31"	3.81289828672943e-24	2.36284528107675	0.605	0.156	4.10420371583556e-20	"Mig"	"MT-CO3"	"male"	"Entorhinal Cortex"
"HSPA1A1"	1.05696278136143e-23	2.13980028535205	0.667	0.229	1.13771473785744e-19	"Mig"	"HSPA1A"	"male"	"Entorhinal Cortex"
"C10orf111"	1.43195807256533e-23	-1.33627127262883	0.469	0.954	1.54135966930932e-19	"Mig"	"C10orf11"	"male"	"Entorhinal Cortex"
"DOCK41"	2.33574281434631e-23	-1.51238633626462	0.612	0.962	2.51419356536237e-19	"Mig"	"DOCK4"	"male"	"Entorhinal Cortex"
"ST6GAL1"	1.62071264677621e-21	-1.66102501129447	0.272	0.813	1.74453509298991e-17	"Mig"	"ST6GAL1"	"male"	"Entorhinal Cortex"
"CRYAB1"	3.45035276088458e-20	2.6357891116835	0.578	0.218	3.71395971181616e-16	"Mig"	"CRYAB"	"male"	"Entorhinal Cortex"
"ST6GALNAC31"	4.12693972817386e-20	-2.03708711897197	0.109	0.599	4.44223792340635e-16	"Mig"	"ST6GALNAC3"	"male"	"Entorhinal Cortex"
"HSP90AA11"	2.20632756017269e-19	2.37440690862034	0.524	0.156	2.37489098576989e-15	"Mig"	"HSP90AA1"	"male"	"Entorhinal Cortex"
"MT-ND21"	7.06374149156065e-19	2.62495121541894	0.435	0.084	7.60341134151589e-15	"Mig"	"MT-ND2"	"male"	"Entorhinal Cortex"
"MT-CO21"	9.54631466396486e-19	2.71331193645499	0.531	0.168	1.02756531042918e-14	"Mig"	"MT-CO2"	"male"	"Entorhinal Cortex"
"LPAR6"	1.23980293939473e-18	-1.76364576478564	0.204	0.698	1.33452388396449e-14	"Mig"	"LPAR6"	"male"	"Entorhinal Cortex"
"MEF2C1"	1.53911077178018e-18	-1.1988200775639	0.435	0.889	1.65669883474418e-14	"Mig"	"MEF2C"	"male"	"Entorhinal Cortex"
"GFAP1"	1.61324550229282e-18	2.47842332459174	0.415	0.073	1.73649745866799e-14	"Mig"	"GFAP"	"male"	"Entorhinal Cortex"
"FOXN31"	4.00158693268491e-18	-1.44876430648512	0.252	0.771	4.30730817434204e-14	"Mig"	"FOXN3"	"male"	"Entorhinal Cortex"
"SPP11"	2.29799523970411e-17	2.18343501887587	0.687	0.363	2.4735620760175e-13	"Mig"	"SPP1"	"male"	"Entorhinal Cortex"
"CD163"	4.52546790158332e-17	2.94431274563286	0.279	0.011	4.87121364926429e-13	"Mig"	"CD163"	"male"	"Entorhinal Cortex"
"SYNDIG1"	1.43968376702928e-16	-1.54049917499916	0.15	0.599	1.54967560683032e-12	"Mig"	"SYNDIG1"	"male"	"Entorhinal Cortex"
"MT-ATP61"	2.80915748189191e-15	2.62996108025324	0.361	0.069	3.02377711350845e-11	"Mig"	"MT-ATP6"	"male"	"Entorhinal Cortex"
"MT-ND31"	3.8475580788214e-15	2.58680950129881	0.354	0.065	4.14151151604336e-11	"Mig"	"MT-ND3"	"male"	"Entorhinal Cortex"
"P2RY12"	1.6451027268218e-14	-1.81421156259881	0.102	0.496	1.77078857515099e-10	"Mig"	"P2RY12"	"male"	"Entorhinal Cortex"
"DPYD1"	1.84251212228248e-14	2.1222044473772	0.51	0.206	1.98328004842486e-10	"Mig"	"DPYD"	"male"	"Entorhinal Cortex"
"SFMBT21"	5.91381442163227e-14	-1.32858349680657	0.306	0.748	6.36562984344497e-10	"Mig"	"SFMBT2"	"male"	"Entorhinal Cortex"
"HSPA51"	6.20371045229865e-14	2.48260943508769	0.259	0.023	6.67767393085427e-10	"Mig"	"HSPA5"	"male"	"Entorhinal Cortex"
"A2M"	6.46749877901561e-14	-1.9696633089066	0.109	0.489	6.9616156857324e-10	"Mig"	"A2M"	"male"	"Entorhinal Cortex"
"MCF2L21"	7.01074495811207e-14	-2.45663171668174	0.02	0.351	7.54636587291183e-10	"Mig"	"MCF2L2"	"male"	"Entorhinal Cortex"
"FKBP51"	1.35945097717907e-13	1.93201661975675	0.476	0.176	1.46331303183555e-09	"Mig"	"FKBP5"	"male"	"Entorhinal Cortex"
"SNX61"	1.78180319515489e-13	2.48380578359517	0.374	0.099	1.91793295926472e-09	"Mig"	"SNX6"	"male"	"Entorhinal Cortex"
"HS3ST4"	2.93357416662545e-13	-1.08147054086331	0.265	0.729	3.15769923295563e-09	"Mig"	"HS3ST4"	"male"	"Entorhinal Cortex"
"RP11-480C22.1"	3.10813860279628e-13	-2.48282008400912	0	0.298	3.34560039204991e-09	"Mig"	"RP11-480C22.1"	"male"	"Entorhinal Cortex"
"ZBTB201"	3.24886418041694e-13	-1.30414488719839	0.218	0.634	3.4970774038008e-09	"Mig"	"ZBTB20"	"male"	"Entorhinal Cortex"
"SRGN"	3.77387690378798e-13	-2.60032183537416	0.095	0.439	4.06220109923738e-09	"Mig"	"SRGN"	"male"	"Entorhinal Cortex"
"MT-CYB1"	4.87287705130319e-13	2.39095022618581	0.381	0.103	5.24516485802276e-09	"Mig"	"MT-CYB"	"male"	"Entorhinal Cortex"
"RP11-556E13.1"	1.23843023333174e-12	1.97265760098093	0.476	0.202	1.33304630315829e-08	"Mig"	"RP11-556E13.1"	"male"	"Entorhinal Cortex"
"MIR99AHG1"	2.02145106966408e-12	-1.45205840694134	0.109	0.485	2.17588993138641e-08	"Mig"	"MIR99AHG"	"male"	"Entorhinal Cortex"
"CD86"	2.44405870593268e-12	-2.15473015084993	0.041	0.359	2.63078479106593e-08	"Mig"	"CD86"	"male"	"Entorhinal Cortex"
"BOK1"	5.4763074263982e-12	2.35422677426356	0.245	0.031	5.89469731377502e-08	"Mig"	"BOK"	"male"	"Entorhinal Cortex"
"KCNQ31"	1.08947024132385e-11	-1.04503535690209	0.286	0.702	1.17270576776099e-07	"Mig"	"KCNQ3"	"male"	"Entorhinal Cortex"
"ITPR21"	1.30071126898718e-11	-0.964427689473889	0.374	0.775	1.4000856099378e-07	"Mig"	"ITPR2"	"male"	"Entorhinal Cortex"
"MT31"	3.39897700543923e-11	1.8310520892635	0.367	0.115	3.65865884865478e-07	"Mig"	"MT3"	"male"	"Entorhinal Cortex"
"CX3CR1"	3.74124409311034e-11	-1.89609179022527	0.061	0.363	4.02707514182397e-07	"Mig"	"CX3CR1"	"male"	"Entorhinal Cortex"
"PRDM11"	4.05327859314376e-11	-2.12740008574413	0	0.252	4.36294907765995e-07	"Mig"	"PRDM11"	"male"	"Entorhinal Cortex"
"CSF2RA"	4.186380483991e-11	-1.49869490219656	0.102	0.439	4.50621995296791e-07	"Mig"	"CSF2RA"	"male"	"Entorhinal Cortex"
"SAT11"	4.27853937188046e-11	-1.31600190213673	0.265	0.641	4.60541977989212e-07	"Mig"	"SAT1"	"male"	"Entorhinal Cortex"
"SRGAP2"	5.76167040404883e-11	-0.896813547140929	0.469	0.824	6.20186202291816e-07	"Mig"	"SRGAP2"	"male"	"Entorhinal Cortex"
"MEF2A1"	6.78952691295612e-11	-0.764187515412485	0.469	0.844	7.30824676910597e-07	"Mig"	"MEF2A"	"male"	"Entorhinal Cortex"
"HSPB11"	1.18381647531552e-10	1.85017531160652	0.313	0.08	1.27426005402962e-06	"Mig"	"HSPB1"	"male"	"Entorhinal Cortex"
"SDK11"	1.20084479680796e-10	-1.29017777482699	0.095	0.424	1.29258933928409e-06	"Mig"	"SDK1"	"male"	"Entorhinal Cortex"
"CAMK1D1"	1.68707701915987e-10	-1.45373902324295	0.054	0.347	1.81596970342368e-06	"Mig"	"CAMK1D"	"male"	"Entorhinal Cortex"
"PDIA4"	1.85649811532037e-10	2.15762442885029	0.17	0.008	1.99833457133085e-06	"Mig"	"PDIA4"	"male"	"Entorhinal Cortex"
"USP531"	2.71969229778751e-10	-1.60569321346171	0.048	0.332	2.92747678933847e-06	"Mig"	"USP53"	"male"	"Entorhinal Cortex"
"DNAJB21"	2.87888513250198e-10	2.03597683109851	0.32	0.095	3.09883195662514e-06	"Mig"	"DNAJB2"	"male"	"Entorhinal Cortex"
"OLR1"	2.91741906315946e-10	-1.62555020328079	0.088	0.389	3.14030987958484e-06	"Mig"	"OLR1"	"male"	"Entorhinal Cortex"
"ZSWIM61"	3.1952168584038e-10	-0.918601713453636	0.279	0.687	3.43933142638585e-06	"Mig"	"ZSWIM6"	"male"	"Entorhinal Cortex"
"DOCK8"	4.58564488472121e-10	-0.852966515076292	0.361	0.76	4.93598815391392e-06	"Mig"	"DOCK8"	"male"	"Entorhinal Cortex"
"FMN1"	5.32092237534038e-10	1.76092024671497	0.435	0.21	5.72744084481638e-06	"Mig"	"FMN1"	"male"	"Entorhinal Cortex"
"ATP8B4"	6.73208143681914e-10	-0.969587861438955	0.204	0.584	7.24641245859213e-06	"Mig"	"ATP8B4"	"male"	"Entorhinal Cortex"
"ADGRB31"	6.82840025680104e-10	-1.42555008136965	0.116	0.424	7.35009003642064e-06	"Mig"	"ADGRB3"	"male"	"Entorhinal Cortex"
"INPP5D"	8.58264316458715e-10	-1.16928699680417	0.156	0.485	9.23835710236161e-06	"Mig"	"INPP5D"	"male"	"Entorhinal Cortex"
"ZFP36L21"	8.73959181910737e-10	-1.41120003459931	0.061	0.347	9.40729663408717e-06	"Mig"	"ZFP36L2"	"male"	"Entorhinal Cortex"
"ABCC4"	9.76768633639637e-10	-1.29690634542118	0.095	0.401	1.0513937572497e-05	"Mig"	"ABCC4"	"male"	"Entorhinal Cortex"
"USP391"	1.09154685000375e-09	-1.34043543271668	0.102	0.405	1.17494102934404e-05	"Mig"	"USP39"	"male"	"Entorhinal Cortex"
"MT-ND11"	1.11301591343537e-09	2.2409573098256	0.265	0.061	1.19805032922183e-05	"Mig"	"MT-ND1"	"male"	"Entorhinal Cortex"
"PPP2R2B1"	1.42249833288191e-09	-1.92290976806289	0.075	0.351	1.53117720551409e-05	"Mig"	"PPP2R2B"	"male"	"Entorhinal Cortex"
"RP5-1031D4.2"	1.43325495824537e-09	-2.09485005169192	0.007	0.233	1.54275563705532e-05	"Mig"	"RP5-1031D4.2"	"male"	"Entorhinal Cortex"
"NAALADL21"	1.5083528875598e-09	-1.51745880106007	0.061	0.34	1.62359104816937e-05	"Mig"	"NAALADL2"	"male"	"Entorhinal Cortex"
"ADAM28"	1.73368492476617e-09	-0.930138140317413	0.238	0.607	1.8661384530183e-05	"Mig"	"ADAM28"	"male"	"Entorhinal Cortex"
"RTTN"	2.0335589955899e-09	-1.78530389206838	0.048	0.305	2.18892290285297e-05	"Mig"	"RTTN"	"male"	"Entorhinal Cortex"
"HSP90B11"	2.0503499888841e-09	2.03235408830561	0.252	0.053	2.20699672803484e-05	"Mig"	"HSP90B1"	"male"	"Entorhinal Cortex"
"TMSB4X1"	2.81782444617416e-09	-1.04378981579883	0.578	0.847	3.03310623386187e-05	"Mig"	"TMSB4X"	"male"	"Entorhinal Cortex"
"NEAT11"	2.90665333968484e-09	1.19388171792644	0.735	0.653	3.12872165483676e-05	"Mig"	"NEAT1"	"male"	"Entorhinal Cortex"
"HSP90AB11"	3.82354323866285e-09	1.80855419249548	0.347	0.134	4.11566194209669e-05	"Mig"	"HSP90AB1"	"male"	"Entorhinal Cortex"
"BHLHE41"	3.82478827755779e-09	-1.33744711054969	0.102	0.393	4.11700210196321e-05	"Mig"	"BHLHE41"	"male"	"Entorhinal Cortex"
"ARHGAP22"	6.8848010815965e-09	-0.847922011384596	0.19	0.523	7.41079988423048e-05	"Mig"	"ARHGAP22"	"male"	"Entorhinal Cortex"
"KCNQ1"	7.07901855815329e-09	-1.75182421274409	0.014	0.229	7.6198555759962e-05	"Mig"	"KCNQ1"	"male"	"Entorhinal Cortex"
"ITM2B1"	7.12396554350159e-09	-0.914524102124161	0.19	0.531	7.66823651102512e-05	"Mig"	"ITM2B"	"male"	"Entorhinal Cortex"
"MIR646HG"	7.2447457333516e-09	-1.81919325752062	0.027	0.256	7.79824430737967e-05	"Mig"	"MIR646HG"	"male"	"Entorhinal Cortex"
"ANKRD441"	8.24094765319447e-09	-0.664577564898561	0.354	0.76	8.87055605389853e-05	"Mig"	"ANKRD44"	"male"	"Entorhinal Cortex"
"WWOX1"	9.81041796781991e-09	-0.853732601023167	0.218	0.55	0.000105599339005613	"Mig"	"WWOX"	"male"	"Entorhinal Cortex"
"LSAMP1"	1.25081279822869e-08	-1.02562635930402	0.136	0.431	0.000134637489601336	"Mig"	"LSAMP"	"male"	"Entorhinal Cortex"
"P2RY13"	1.2801757509514e-08	-1.83369464690023	0.007	0.21	0.000137798117832408	"Mig"	"P2RY13"	"male"	"Entorhinal Cortex"
"CSF3R"	1.38420362288967e-08	-1.24395002937865	0.082	0.355	0.000148995677967844	"Mig"	"CSF3R"	"male"	"Entorhinal Cortex"
"AOAH"	1.3906626416187e-08	-0.873105863078772	0.17	0.511	0.000149690926743837	"Mig"	"AOAH"	"male"	"Entorhinal Cortex"
"BLNK"	1.41780293147198e-08	-0.878770073375612	0.116	0.416	0.000152612307543644	"Mig"	"BLNK"	"male"	"Entorhinal Cortex"
"SORL11"	1.5005744456376e-08	-0.798641253699	0.347	0.729	0.000161521833328432	"Mig"	"SORL1"	"male"	"Entorhinal Cortex"
"FMNL3"	1.74474931554075e-08	-1.20982288963859	0.075	0.34	0.000187804816324807	"Mig"	"FMNL3"	"male"	"Entorhinal Cortex"
"SRGAP2B"	2.43781629951617e-08	-0.882508838159191	0.354	0.676	0.000262406546479921	"Mig"	"SRGAP2B"	"male"	"Entorhinal Cortex"
"NAV21"	3.80191456000552e-08	-1.24549372844002	0.048	0.286	0.000409238083238994	"Mig"	"NAV2"	"male"	"Entorhinal Cortex"
"PRKCA1"	3.82068056294351e-08	-1.10865170525169	0.109	0.385	0.00041125805579524	"Mig"	"PRKCA"	"male"	"Entorhinal Cortex"
"ELMO1-AS1"	3.97807989277965e-08	-1.41828950550297	0.027	0.24	0.000428200519658801	"Mig"	"ELMO1-AS1"	"male"	"Entorhinal Cortex"
"NAV31"	4.19947877013858e-08	-0.7583553263923	0.238	0.592	0.000452031894817716	"Mig"	"NAV3"	"male"	"Entorhinal Cortex"
"TLN21"	4.26643841844662e-08	-1.08138549898411	0.088	0.351	0.000459239431361594	"Mig"	"TLN2"	"male"	"Entorhinal Cortex"
"CD163L1"	6.66644907596698e-08	1.57508857480312	0.177	0.027	0.000717576578537086	"Mig"	"CD163L1"	"male"	"Entorhinal Cortex"
"STAB1"	7.83259300677591e-08	2.26830934532264	0.224	0.057	0.000843100311249359	"Mig"	"STAB1"	"male"	"Entorhinal Cortex"
"SLC9A91"	9.75169305094599e-08	-0.650675097431136	0.415	0.767	0.00104967224000383	"Mig"	"SLC9A9"	"male"	"Entorhinal Cortex"
"TBC1D22A1"	1.05043733311818e-07	-0.861735887112689	0.177	0.473	0.00113069074536841	"Mig"	"TBC1D22A"	"male"	"Entorhinal Cortex"
"ENTPD1-AS11"	1.11703666282822e-07	-1.21640450203206	0.054	0.282	0.0012023782638683	"Mig"	"ENTPD1-AS1"	"male"	"Entorhinal Cortex"
"TMEM163"	1.42332960957206e-07	1.77631638576814	0.136	0.011	0.00153207199174336	"Mig"	"TMEM163"	"male"	"Entorhinal Cortex"
"LRRK1"	1.52013916697754e-07	-0.975723757980015	0.102	0.355	0.00163627779933462	"Mig"	"LRRK1"	"male"	"Entorhinal Cortex"
"DUSP1"	1.84557590420134e-07	-1.57794601419994	0.048	0.26	0.00198657790328232	"Mig"	"DUSP1"	"male"	"Entorhinal Cortex"
"SEPW11"	1.93544472945503e-07	1.87801190480118	0.231	0.065	0.0020833127067854	"Mig"	"SEPW1"	"male"	"Entorhinal Cortex"
"ELMO11"	2.06859740122648e-07	-0.615456066505186	0.435	0.802	0.00222663824268018	"Mig"	"ELMO1"	"male"	"Entorhinal Cortex"
"ZNF710"	2.11395312844631e-07	-1.20727123789342	0.095	0.34	0.0022754591474596	"Mig"	"ZNF710"	"male"	"Entorhinal Cortex"
"MARCH31"	2.13281743078558e-07	-1.54741608362424	0.048	0.256	0.0022957646824976	"Mig"	"MARCH3"	"male"	"Entorhinal Cortex"
"PKN21"	2.14388093828433e-07	-1.13974563443514	0.109	0.355	0.00230767344196925	"Mig"	"PKN2"	"male"	"Entorhinal Cortex"
"ARHGAP241"	2.65655116411469e-07	-0.59944696926896	0.537	0.87	0.00285951167305305	"Mig"	"ARHGAP24"	"male"	"Entorhinal Cortex"
"RP11-707A18.1"	2.70020625889295e-07	-1.12979269350622	0.095	0.336	0.00290650201707238	"Mig"	"RP11-707A18.1"	"male"	"Entorhinal Cortex"
"RP11-187O7.3"	2.76045393110128e-07	-1.7816246592532	0.007	0.176	0.00297135261143742	"Mig"	"RP11-187O7.3"	"male"	"Entorhinal Cortex"
"CYFIP1"	2.76722102791469e-07	-0.988686253036563	0.109	0.37	0.00297863671444737	"Mig"	"CYFIP1"	"male"	"Entorhinal Cortex"
"NDRG21"	3.59813349084252e-07	1.59547954798339	0.333	0.153	0.00387303088954289	"Mig"	"NDRG2"	"male"	"Entorhinal Cortex"
"LINC-PINT1"	4.11729151958578e-07	-0.724722879544599	0.129	0.393	0.00443185259168213	"Mig"	"LINC-PINT"	"male"	"Entorhinal Cortex"
"FTX1"	4.19330857238296e-07	-0.548813663494733	0.238	0.561	0.00451367734731302	"Mig"	"FTX"	"male"	"Entorhinal Cortex"
"AUTS21"	4.25207675605156e-07	-0.863856475384285	0.177	0.469	0.0045769354202139	"Mig"	"AUTS2"	"male"	"Entorhinal Cortex"
"P3H2"	4.96252518062926e-07	-1.49550957513921	0.027	0.21	0.00534166210442934	"Mig"	"P3H2"	"male"	"Entorhinal Cortex"
"AP000476.1"	7.22584594246763e-07	-0.968715253960766	0.088	0.324	0.00777790057247215	"Mig"	"AP000476.1"	"male"	"Entorhinal Cortex"
"ARMC91"	7.38902847167003e-07	1.35212391542131	0.422	0.229	0.00795355024690562	"Mig"	"ARMC9"	"male"	"Entorhinal Cortex"
"JUNB1"	8.19538661735157e-07	-1.56537639899101	0.041	0.229	0.00882151415491723	"Mig"	"JUNB"	"male"	"Entorhinal Cortex"
"NDRG11"	8.29979049118668e-07	1.70305921931662	0.204	0.053	0.00893389448471334	"Mig"	"NDRG1"	"male"	"Entorhinal Cortex"
"RSRP11"	8.57138173520299e-07	-0.950147954533274	0.102	0.34	0.0092262352997725	"Mig"	"RSRP1"	"male"	"Entorhinal Cortex"
"TTC7A1"	8.58746804551597e-07	-1.16681840917659	0.095	0.324	0.00924355060419339	"Mig"	"TTC7A"	"male"	"Entorhinal Cortex"
"DNAJB11"	9.38247353682114e-07	1.69220903757922	0.19	0.046	0.0100992945150343	"Mig"	"DNAJB1"	"male"	"Entorhinal Cortex"
"CNTN21"	9.76742244293695e-07	1.63376926401492	0.259	0.092	0.0105136535175773	"Mig"	"CNTN2"	"male"	"Entorhinal Cortex"
"CAPZB1"	9.90605021733234e-07	-0.991958689473908	0.075	0.294	0.0106628724539365	"Mig"	"CAPZB"	"male"	"Entorhinal Cortex"
"RGS10"	1.00203666704296e-06	-1.27967349613834	0.041	0.233	0.0107859226840504	"Mig"	"RGS10"	"male"	"Entorhinal Cortex"
