"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"	"region"
"JUN"	0.000939488120830155	0.50678886602996	0.29	0.136	1	"Ast"	"JUN"	"female"	"Entorhinal Cortex"
"APC2"	0.000947862017635638	0.543663286770166	0.359	0.199	1	"Ast"	"APC2"	"female"	"Entorhinal Cortex"
"GAPVD1"	0.000953106315668563	0.566192377430258	0.139	0.04	1	"Ast"	"GAPVD1"	"female"	"Entorhinal Cortex"
"C8orf34"	0.000960476833263504	0.823729369276553	0.135	0.04	1	"Ast"	"C8orf34"	"female"	"Entorhinal Cortex"
"RP11-983P16.4"	0.000967502455390246	0.639211967870157	0.127	0.034	1	"Ast"	"RP11-983P16.4"	"female"	"Entorhinal Cortex"
"PPP1R12B"	0.000977112885601628	0.373358487052966	0.359	0.193	1	"Ast"	"PPP1R12B"	"female"	"Entorhinal Cortex"
"DHX29"	0.000981759209677508	0.471449215912928	0.192	0.074	1	"Ast"	"DHX29"	"female"	"Entorhinal Cortex"
"DHRSX"	0.000984744742772584	0.726240738150221	0.127	0.034	1	"Ast"	"DHRSX"	"female"	"Entorhinal Cortex"
"VPS36"	0.000993794865548948	0.671453905180945	0.135	0.04	1	"Ast"	"VPS36"	"female"	"Entorhinal Cortex"
"CAPN2"	0.000996728726912218	0.458105748295245	0.294	0.148	1	"Ast"	"CAPN2"	"female"	"Entorhinal Cortex"
"DEK"	0.00100819698870645	0.495033192959527	0.139	0.04	1	"Ast"	"DEK"	"female"	"Entorhinal Cortex"
"CC2D1A"	0.00100960512388727	0.572746222625618	0.18	0.068	1	"Ast"	"CC2D1A"	"female"	"Entorhinal Cortex"
"BCAN"	0.00101584220258753	-0.83795089541426	0.167	0.284	1	"Ast"	"BCAN"	"female"	"Entorhinal Cortex"
"AZIN1-AS1"	0.00102922573848424	0.475371397052471	0.22	0.091	1	"Ast"	"AZIN1-AS1"	"female"	"Entorhinal Cortex"
"ZNF783"	0.00103104079164342	0.494722091931191	0.118	0.028	1	"Ast"	"ZNF783"	"female"	"Entorhinal Cortex"
"LARGE"	0.00103158530327804	0.623582218444969	0.204	0.085	1	"Ast"	"LARGE"	"female"	"Entorhinal Cortex"
"C11orf80"	0.00103718931404189	0.647840881933437	0.106	0.023	1	"Ast"	"C11orf80"	"female"	"Entorhinal Cortex"
"DAAM2"	0.00104552484745021	0.243943304674084	0.445	0.239	1	"Ast"	"DAAM2"	"female"	"Entorhinal Cortex"
"CTC-498M16.2"	0.00104682806346254	-0.905980456028215	0.065	0.159	1	"Ast"	"CTC-498M16.2"	"female"	"Entorhinal Cortex"
"GRAMD3"	0.00104860574920751	0.361675513907605	0.698	0.528	1	"Ast"	"GRAMD3"	"female"	"Entorhinal Cortex"
"GOLGA8B"	0.0010506441959202	0.501199932840743	0.257	0.119	1	"Ast"	"GOLGA8B"	"female"	"Entorhinal Cortex"
"TGFBR3"	0.00105570401256264	0.574760434404527	0.229	0.102	1	"Ast"	"TGFBR3"	"female"	"Entorhinal Cortex"
"COX7B"	0.00105767416925619	-0.865365356813206	0.057	0.148	1	"Ast"	"COX7B"	"female"	"Entorhinal Cortex"
"THOC1"	0.00107264135113263	0.568881195782743	0.147	0.045	1	"Ast"	"THOC1"	"female"	"Entorhinal Cortex"
"COX20"	0.00107589888442827	-0.917553186600743	0.053	0.142	1	"Ast"	"COX20"	"female"	"Entorhinal Cortex"
"RP11-219A15.1"	0.00107842020827747	0.415777730610479	0.167	0.057	1	"Ast"	"RP11-219A15.1"	"female"	"Entorhinal Cortex"
"GREB1"	0.00109204284758484	0.618810422270937	0.106	0.023	1	"Ast"	"GREB1"	"female"	"Entorhinal Cortex"
"LINC01481"	0.00109720538954852	0.542555956115658	0.212	0.091	1	"Ast"	"LINC01481"	"female"	"Entorhinal Cortex"
"PSMD11"	0.00110250749416386	0.468501060312328	0.139	0.04	1	"Ast"	"PSMD11"	"female"	"Entorhinal Cortex"
"PPP6R2"	0.00112436410508988	0.681401956300417	0.245	0.119	1	"Ast"	"PPP6R2"	"female"	"Entorhinal Cortex"
"OARD1"	0.00113805542098223	0.553512011017061	0.135	0.04	1	"Ast"	"OARD1"	"female"	"Entorhinal Cortex"
"ACACB"	0.00114146258892678	0.589612366035297	0.412	0.25	1	"Ast"	"ACACB"	"female"	"Entorhinal Cortex"
"RHOJ"	0.00114437799964947	-0.877070380060268	0.065	0.159	1	"Ast"	"RHOJ"	"female"	"Entorhinal Cortex"
"FAM35A"	0.00114600564888209	0.449000032982761	0.184	0.068	1	"Ast"	"FAM35A"	"female"	"Entorhinal Cortex"
"TRIM66"	0.00115695322412243	0.385680963462768	0.106	0.023	1	"Ast"	"TRIM66"	"female"	"Entorhinal Cortex"
"CPNE8"	0.00116520023455972	0.656326557187256	0.233	0.108	1	"Ast"	"CPNE8"	"female"	"Entorhinal Cortex"
"ITGA6"	0.00117048453757103	0.356405658649909	0.2	0.08	1	"Ast"	"ITGA6"	"female"	"Entorhinal Cortex"
"DIP2B"	0.00117137431514367	0.402995184347028	0.261	0.119	1	"Ast"	"DIP2B"	"female"	"Entorhinal Cortex"
"PARP2"	0.00117185380305772	0.460078449628804	0.106	0.023	1	"Ast"	"PARP2"	"female"	"Entorhinal Cortex"
"CLEC16A"	0.00117317083697812	0.458174501691735	0.327	0.17	1	"Ast"	"CLEC16A"	"female"	"Entorhinal Cortex"
"AP000462.2"	0.00118533671735456	-0.695455191482646	0.045	0.131	1	"Ast"	"AP000462.2"	"female"	"Entorhinal Cortex"
"CTTN"	0.00120038667463579	0.362719282290859	0.237	0.102	1	"Ast"	"CTTN"	"female"	"Entorhinal Cortex"
"IQCA1"	0.00121153976481941	-0.703932730666646	0.343	0.466	1	"Ast"	"IQCA1"	"female"	"Entorhinal Cortex"
"LRCH4"	0.00121859351482391	0.53769814771333	0.127	0.034	1	"Ast"	"LRCH4"	"female"	"Entorhinal Cortex"
"LRBA"	0.00123513209960876	0.3613353823749	0.257	0.119	1	"Ast"	"LRBA"	"female"	"Entorhinal Cortex"
"ATG10"	0.00124289677015412	0.526130865294967	0.212	0.091	1	"Ast"	"ATG10"	"female"	"Entorhinal Cortex"
"APBA2"	0.00124964278648837	0.534814207931589	0.245	0.114	1	"Ast"	"APBA2"	"female"	"Entorhinal Cortex"
"DDHD2"	0.00125702525575896	0.41890311818036	0.106	0.023	1	"Ast"	"DDHD2"	"female"	"Entorhinal Cortex"
"RAMP1"	0.00125952394974669	0.530866352321027	0.31	0.165	1	"Ast"	"RAMP1"	"female"	"Entorhinal Cortex"
"RAF1"	0.00126392071790232	0.521996956571345	0.171	0.062	1	"Ast"	"RAF1"	"female"	"Entorhinal Cortex"
"MSLN"	0.00128167291553852	0.632377544015183	0.114	0.028	1	"Ast"	"MSLN"	"female"	"Entorhinal Cortex"
"HK1"	0.00128167558037253	0.572114561045339	0.114	0.028	1	"Ast"	"HK1"	"female"	"Entorhinal Cortex"
"WDFY2"	0.00128300565173252	0.452705457561776	0.347	0.188	1	"Ast"	"WDFY2"	"female"	"Entorhinal Cortex"
"NFX1"	0.00128785507227584	0.345893917946844	0.155	0.051	1	"Ast"	"NFX1"	"female"	"Entorhinal Cortex"
"ZBTB4"	0.00129103876723924	0.539543320787304	0.143	0.045	1	"Ast"	"ZBTB4"	"female"	"Entorhinal Cortex"
"RGL2"	0.00129271894941626	-0.947644006096412	0.073	0.17	1	"Ast"	"RGL2"	"female"	"Entorhinal Cortex"
"FRMD6"	0.00129454132771334	0.416263303387076	0.155	0.051	1	"Ast"	"FRMD6"	"female"	"Entorhinal Cortex"
"CTNND1"	0.00129734408438675	0.546425477906334	0.114	0.028	1	"Ast"	"CTNND1"	"female"	"Entorhinal Cortex"
"GARNL3"	0.00130423828947937	-0.930312339511766	0.171	0.278	1	"Ast"	"GARNL3"	"female"	"Entorhinal Cortex"
"EPS15L1"	0.00132596727588356	0.40722624826193	0.294	0.148	1	"Ast"	"EPS15L1"	"female"	"Entorhinal Cortex"
"LPIN1"	0.00132617417058731	0.48878207697335	0.392	0.216	1	"Ast"	"LPIN1"	"female"	"Entorhinal Cortex"
"YARS"	0.00133071660956413	0.579411855195932	0.135	0.04	1	"Ast"	"YARS"	"female"	"Entorhinal Cortex"
"GRIN2C"	0.00133630132983439	-0.889232173086423	0.078	0.176	1	"Ast"	"GRIN2C"	"female"	"Entorhinal Cortex"
"WFS1"	0.00133700802181457	0.482136132900809	0.229	0.102	1	"Ast"	"WFS1"	"female"	"Entorhinal Cortex"
"ARHGEF7"	0.00134475021310811	0.329958894815704	0.241	0.108	1	"Ast"	"ARHGEF7"	"female"	"Entorhinal Cortex"
"BRAF"	0.00134847378340513	0.444019508217155	0.273	0.136	1	"Ast"	"BRAF"	"female"	"Entorhinal Cortex"
"ANKRD9"	0.00135819364059553	0.745013383469035	0.131	0.04	1	"Ast"	"ANKRD9"	"female"	"Entorhinal Cortex"
"ANKFY1"	0.00136101822919418	0.347223679230526	0.2	0.08	1	"Ast"	"ANKFY1"	"female"	"Entorhinal Cortex"
"RNF157"	0.00137006413877934	0.463276313596905	0.114	0.028	1	"Ast"	"RNF157"	"female"	"Entorhinal Cortex"
"ZBTB8OS"	0.00137023259929593	0.430822455167956	0.155	0.051	1	"Ast"	"ZBTB8OS"	"female"	"Entorhinal Cortex"
"CEP350"	0.00138432850760657	0.316272581303128	0.282	0.136	1	"Ast"	"CEP350"	"female"	"Entorhinal Cortex"
"NSMF"	0.00139557759324364	0.512978006371674	0.302	0.153	1	"Ast"	"NSMF"	"female"	"Entorhinal Cortex"
"GAK"	0.00140183126943116	0.358784219288222	0.147	0.045	1	"Ast"	"GAK"	"female"	"Entorhinal Cortex"
"DNM3"	0.00140641773622528	-0.798704754639754	0.31	0.415	1	"Ast"	"DNM3"	"female"	"Entorhinal Cortex"
"CKB"	0.00141084622405422	-0.716243253745811	0.535	0.585	1	"Ast"	"CKB"	"female"	"Entorhinal Cortex"
"ARL17A"	0.0014167589960855	0.339361457413948	0.147	0.045	1	"Ast"	"ARL17A"	"female"	"Entorhinal Cortex"
"PDK4"	0.00142656394349482	-1.07576324233284	0.118	0.227	1	"Ast"	"PDK4"	"female"	"Entorhinal Cortex"
"SRBD1"	0.00143784146071993	0.520818406086375	0.114	0.028	1	"Ast"	"SRBD1"	"female"	"Entorhinal Cortex"
"DGKG"	0.00143982100725612	0.362603544158907	0.384	0.216	1	"Ast"	"DGKG"	"female"	"Entorhinal Cortex"
"SH3GLB2"	0.00144265379956963	-0.783350690516641	0.033	0.108	1	"Ast"	"SH3GLB2"	"female"	"Entorhinal Cortex"
"PLEKHA6"	0.00144383024329899	-0.665253263360317	0.139	0.256	1	"Ast"	"PLEKHA6"	"female"	"Entorhinal Cortex"
"CUL3"	0.00144532759867703	0.309390285591554	0.216	0.091	1	"Ast"	"CUL3"	"female"	"Entorhinal Cortex"
"ARID1A"	0.00145133607720543	0.175096161657166	0.265	0.125	1	"Ast"	"ARID1A"	"female"	"Entorhinal Cortex"
"CA5B"	0.00145745058905848	0.475506218106004	0.155	0.051	1	"Ast"	"CA5B"	"female"	"Entorhinal Cortex"
"ZFP36L2"	0.00146646419071242	0.638456986880754	0.151	0.051	1	"Ast"	"ZFP36L2"	"female"	"Entorhinal Cortex"
"ATG4B"	0.00147963246503438	0.547100802645935	0.208	0.091	1	"Ast"	"ATG4B"	"female"	"Entorhinal Cortex"
"FRMD4A"	0.00148375688425561	-0.933487435808245	0.122	0.227	1	"Ast"	"FRMD4A"	"female"	"Entorhinal Cortex"
"PLXDC2"	0.00149428244271444	0.536442973744341	0.404	0.239	1	"Ast"	"PLXDC2"	"female"	"Entorhinal Cortex"
"DNAH6"	0.00149816865430774	0.685915401274328	0.102	0.023	1	"Ast"	"DNAH6"	"female"	"Entorhinal Cortex"
"MARCH6"	0.0015034656574921	0.469352932388617	0.339	0.188	1	"Ast"	"MARCH6"	"female"	"Entorhinal Cortex"
"ANOS1"	0.00155219604406401	0.483555633674537	0.151	0.051	1	"Ast"	"ANOS1"	"female"	"Entorhinal Cortex"
"CRTC1"	0.0015616288383921	0.366579991048928	0.135	0.04	1	"Ast"	"CRTC1"	"female"	"Entorhinal Cortex"
"CD163L1"	0.00156969369643584	0.66889331718385	0.139	0.045	1	"Ast"	"CD163L1"	"female"	"Entorhinal Cortex"
"INO80D"	0.00157006930300681	0.454422878758881	0.131	0.04	1	"Ast"	"INO80D"	"female"	"Entorhinal Cortex"
"SERPINE2"	0.00159193873792895	-0.834178180560257	0.212	0.324	1	"Ast"	"SERPINE2"	"female"	"Entorhinal Cortex"
"CCAR1"	0.00161201212408334	0.326021346620696	0.208	0.085	1	"Ast"	"CCAR1"	"female"	"Entorhinal Cortex"
"ATE1"	0.00161566270111165	0.30212306695831	0.143	0.045	1	"Ast"	"ATE1"	"female"	"Entorhinal Cortex"
"ABCA3"	0.00161566270111165	0.383743214516259	0.143	0.045	1	"Ast"	"ABCA3"	"female"	"Entorhinal Cortex"
"ATP8A1"	0.00162318085869969	-0.879891761869013	0.151	0.256	1	"Ast"	"ATP8A1"	"female"	"Entorhinal Cortex"
"LARP4"	0.00162423617994784	0.400322720666731	0.143	0.045	1	"Ast"	"LARP4"	"female"	"Entorhinal Cortex"
"SNCG"	0.00163661672978253	-0.568698009534836	0.029	0.102	1	"Ast"	"SNCG"	"female"	"Entorhinal Cortex"
"LTBP3"	0.0016451930759706	0.484728783517044	0.176	0.068	1	"Ast"	"LTBP3"	"female"	"Entorhinal Cortex"
"STK3"	0.00164534765291795	0.504100877880981	0.302	0.165	1	"Ast"	"STK3"	"female"	"Entorhinal Cortex"
"SMOX"	0.00164774512477255	0.474871247160154	0.229	0.102	1	"Ast"	"SMOX"	"female"	"Entorhinal Cortex"
"INPP5D"	0.00164790143749969	0.703462879411069	0.102	0.023	1	"Ast"	"INPP5D"	"female"	"Entorhinal Cortex"
"HYI"	0.00165835007660124	0.546177191490915	0.102	0.023	1	"Ast"	"HYI"	"female"	"Entorhinal Cortex"
"TACC1"	0.00166012714442763	0.329285664147057	0.229	0.097	1	"Ast"	"TACC1"	"female"	"Entorhinal Cortex"
"KAT6B"	0.00166218571271965	0.396740411337114	0.282	0.136	1	"Ast"	"KAT6B"	"female"	"Entorhinal Cortex"
"ARPC2"	0.00166887460703054	0.405935981886332	0.102	0.023	1	"Ast"	"ARPC2"	"female"	"Entorhinal Cortex"
"CUL4A"	0.00167157373492679	0.504801997357854	0.233	0.108	1	"Ast"	"CUL4A"	"female"	"Entorhinal Cortex"
"RAB10"	0.0016781058667555	0.620603314433341	0.192	0.08	1	"Ast"	"RAB10"	"female"	"Entorhinal Cortex"
"GABRA2"	0.00168559550926553	-0.793134011231527	0.18	0.301	1	"Ast"	"GABRA2"	"female"	"Entorhinal Cortex"
"PLA2G4C"	0.00168717518548527	0.496785851449039	0.139	0.045	1	"Ast"	"PLA2G4C"	"female"	"Entorhinal Cortex"
"MACROD2"	0.001697290767951	0.489593180151514	0.441	0.284	1	"Ast"	"MACROD2"	"female"	"Entorhinal Cortex"
"FTO"	0.00170171627730431	0.361193238888585	0.404	0.233	1	"Ast"	"FTO"	"female"	"Entorhinal Cortex"
"RUFY1"	0.00171683376720052	0.499098802185328	0.122	0.034	1	"Ast"	"RUFY1"	"female"	"Entorhinal Cortex"
"SMURF1"	0.00173011265241975	0.746233080457482	0.184	0.08	1	"Ast"	"SMURF1"	"female"	"Entorhinal Cortex"
"KDM2A"	0.00174634282543978	0.554982408502648	0.2	0.085	1	"Ast"	"KDM2A"	"female"	"Entorhinal Cortex"
"TESK2"	0.00175312166573959	0.592916534420906	0.29	0.153	1	"Ast"	"TESK2"	"female"	"Entorhinal Cortex"
"ZKSCAN1"	0.00175693555459268	0.464537786184498	0.224	0.102	1	"Ast"	"ZKSCAN1"	"female"	"Entorhinal Cortex"
"SEC31A"	0.00177348564109821	0.469166524050815	0.151	0.051	1	"Ast"	"SEC31A"	"female"	"Entorhinal Cortex"
"C8orf46"	0.00179224630848246	0.594541147331649	0.131	0.04	1	"Ast"	"C8orf46"	"female"	"Entorhinal Cortex"
"UQCR10"	0.00180827251563524	-0.891896684645164	0.09	0.188	1	"Ast"	"UQCR10"	"female"	"Entorhinal Cortex"
"RGL1"	0.00181174125248426	0.405494656067561	0.294	0.153	1	"Ast"	"RGL1"	"female"	"Entorhinal Cortex"
"AP000304.12"	0.00181200194335159	-0.767708812505862	0.057	0.142	1	"Ast"	"AP000304.12"	"female"	"Entorhinal Cortex"
"TMEM87A"	0.00181215819213513	0.452066436313826	0.184	0.074	1	"Ast"	"TMEM87A"	"female"	"Entorhinal Cortex"
"TANK"	0.00181472549845576	0.4319442879039	0.114	0.028	1	"Ast"	"TANK"	"female"	"Entorhinal Cortex"
"SIRT5"	0.00182270195789249	0.485068081445187	0.102	0.023	1	"Ast"	"SIRT5"	"female"	"Entorhinal Cortex"
"BBS2"	0.00183533810633922	0.174513390262865	0.347	0.182	1	"Ast"	"BBS2"	"female"	"Entorhinal Cortex"
"SPAG1"	0.00184206730100229	0.602239393922773	0.155	0.057	1	"Ast"	"SPAG1"	"female"	"Entorhinal Cortex"
"PLEKHA7"	0.00184932219560019	-0.90326464996536	0.241	0.347	1	"Ast"	"PLEKHA7"	"female"	"Entorhinal Cortex"
"TEX2"	0.00187347466916666	0.640709483148981	0.11	0.028	1	"Ast"	"TEX2"	"female"	"Entorhinal Cortex"
"SKP1"	0.00187591074147234	-0.793031670297877	0.086	0.182	1	"Ast"	"SKP1"	"female"	"Entorhinal Cortex"
"DOCK7"	0.0019053880597345	0.350078967463412	0.49	0.301	1	"Ast"	"DOCK7"	"female"	"Entorhinal Cortex"
"LONP2"	0.00190795108107742	0.327241675115529	0.314	0.165	1	"Ast"	"LONP2"	"female"	"Entorhinal Cortex"
"RBM28"	0.00191311583694719	0.46409045485989	0.176	0.068	1	"Ast"	"RBM28"	"female"	"Entorhinal Cortex"
"NEK11"	0.00193435862549483	0.460946515640575	0.233	0.108	1	"Ast"	"NEK11"	"female"	"Entorhinal Cortex"
"MUM1"	0.0019343973633935	0.378048591624122	0.306	0.165	1	"Ast"	"MUM1"	"female"	"Entorhinal Cortex"
"TCF25"	0.00195077441078683	0.382619128935888	0.331	0.176	1	"Ast"	"TCF25"	"female"	"Entorhinal Cortex"
"ITFG1"	0.00196858657748537	0.479027290707535	0.38	0.21	1	"Ast"	"ITFG1"	"female"	"Entorhinal Cortex"
"ZNF721"	0.00197017533189349	0.545056206570044	0.204	0.091	1	"Ast"	"ZNF721"	"female"	"Entorhinal Cortex"
"PARD3B"	0.00197083480849157	0.351260604701647	0.616	0.443	1	"Ast"	"PARD3B"	"female"	"Entorhinal Cortex"
"DDX46"	0.00199985736364113	0.283281844382327	0.2	0.08	1	"Ast"	"DDX46"	"female"	"Entorhinal Cortex"
"CIC"	0.0020143974972155	0.419763355981352	0.102	0.023	1	"Ast"	"CIC"	"female"	"Entorhinal Cortex"
"MED12L"	0.00202282231943372	0.380525938084116	0.518	0.324	1	"Ast"	"MED12L"	"female"	"Entorhinal Cortex"
"ASAP1"	0.0020312538535784	0.318607442907091	0.388	0.216	1	"Ast"	"ASAP1"	"female"	"Entorhinal Cortex"
"DNER"	0.00203195247391508	0.467851485430646	0.184	0.074	1	"Ast"	"DNER"	"female"	"Entorhinal Cortex"
"FZD3"	0.00204911295554294	0.206105326844308	0.151	0.051	1	"Ast"	"FZD3"	"female"	"Entorhinal Cortex"
"ATP8B2"	0.00207316886114398	0.42096986447555	0.11	0.028	1	"Ast"	"ATP8B2"	"female"	"Entorhinal Cortex"
"STX8"	0.00207579169285269	0.374709143555397	0.278	0.136	1	"Ast"	"STX8"	"female"	"Entorhinal Cortex"
"MEF2C-AS1"	0.00212762646436887	-0.886429020546687	0.155	0.261	1	"Ast"	"MEF2C-AS1"	"female"	"Entorhinal Cortex"
"TPT1"	0.00215468364885803	-0.655879191457938	0.09	0.188	1	"Ast"	"TPT1"	"female"	"Entorhinal Cortex"
"RASD1"	0.00215997010853976	0.749305983973763	0.127	0.04	1	"Ast"	"RASD1"	"female"	"Entorhinal Cortex"
"C14orf2"	0.00216604786242353	-0.728379245823138	0.082	0.176	1	"Ast"	"C14orf2"	"female"	"Entorhinal Cortex"
"NIM1K"	0.00217819831769198	0.547491918733675	0.118	0.034	1	"Ast"	"NIM1K"	"female"	"Entorhinal Cortex"
"NARS2"	0.00218662301206037	0.513724400996588	0.11	0.028	1	"Ast"	"NARS2"	"female"	"Entorhinal Cortex"
"SIK2"	0.00220919663993977	0.434569832265226	0.298	0.159	1	"Ast"	"SIK2"	"female"	"Entorhinal Cortex"
"CEP57"	0.00221221686496995	0.387697475279406	0.196	0.085	1	"Ast"	"CEP57"	"female"	"Entorhinal Cortex"
"RGS20"	0.00223687710288775	-0.745442255981155	0.114	0.216	1	"Ast"	"RGS20"	"female"	"Entorhinal Cortex"
"ARMC3"	0.00224842317051267	0.455409740459758	0.139	0.045	1	"Ast"	"ARMC3"	"female"	"Entorhinal Cortex"
"CREBBP"	0.00224844708909398	0.541416898504717	0.241	0.119	1	"Ast"	"CREBBP"	"female"	"Entorhinal Cortex"
"C1orf228"	0.00225630306991038	0.468463277046022	0.2	0.085	1	"Ast"	"C1orf228"	"female"	"Entorhinal Cortex"
"GTF2IRD2"	0.00226015923379309	0.423953456864961	0.139	0.045	1	"Ast"	"GTF2IRD2"	"female"	"Entorhinal Cortex"
"KDM3A"	0.00226390682571766	0.447367248887605	0.131	0.04	1	"Ast"	"KDM3A"	"female"	"Entorhinal Cortex"
"ATP5A1"	0.00226625453905816	-0.706860257697511	0.049	0.131	1	"Ast"	"ATP5A1"	"female"	"Entorhinal Cortex"
"REV3L"	0.00228266589904519	0.434160237473131	0.531	0.358	1	"Ast"	"REV3L"	"female"	"Entorhinal Cortex"
"ST18"	0.00229623443273603	0.817451424168969	0.143	0.051	1	"Ast"	"ST18"	"female"	"Entorhinal Cortex"
"BDNF-AS"	0.00229724477788447	-0.951027259077012	0.176	0.278	1	"Ast"	"BDNF-AS"	"female"	"Entorhinal Cortex"
"C5orf42"	0.00230916553814771	0.383080205084212	0.265	0.131	1	"Ast"	"C5orf42"	"female"	"Entorhinal Cortex"
"CACHD1"	0.0023274913053076	-0.684938495074506	0.339	0.438	1	"Ast"	"CACHD1"	"female"	"Entorhinal Cortex"
"CFL1"	0.00233916852967598	-0.839215125441553	0.073	0.165	1	"Ast"	"CFL1"	"female"	"Entorhinal Cortex"
"CSRP1"	0.00234650121010287	0.189677419100174	0.339	0.176	1	"Ast"	"CSRP1"	"female"	"Entorhinal Cortex"
"ZXDC"	0.00235000197673488	0.374405801308076	0.167	0.062	1	"Ast"	"ZXDC"	"female"	"Entorhinal Cortex"
"PCCA"	0.0023820072032416	0.519370150778735	0.302	0.165	1	"Ast"	"PCCA"	"female"	"Entorhinal Cortex"
"FAM227A"	0.0024082778882858	0.521565067968197	0.127	0.04	1	"Ast"	"FAM227A"	"female"	"Entorhinal Cortex"
"CLTA"	0.002408289716005	0.53868620411026	0.127	0.04	1	"Ast"	"CLTA"	"female"	"Entorhinal Cortex"
"PPP4R3A"	0.00240976440079665	0.521977888446237	0.106	0.028	1	"Ast"	"PPP4R3A"	"female"	"Entorhinal Cortex"
"BAIAP2"	0.0024112254822391	0.52814374092484	0.118	0.034	1	"Ast"	"BAIAP2"	"female"	"Entorhinal Cortex"
"NBPF19"	0.00241154520755696	0.314297197408138	0.4	0.239	1	"Ast"	"NBPF19"	"female"	"Entorhinal Cortex"
"AHCTF1"	0.00242366803372846	0.368188205358729	0.11	0.028	1	"Ast"	"AHCTF1"	"female"	"Entorhinal Cortex"
"EHBP1"	0.00245626770647687	0.304972999741082	0.416	0.239	1	"Ast"	"EHBP1"	"female"	"Entorhinal Cortex"
"PRTG"	0.00246770016318938	0.662612852450469	0.106	0.028	1	"Ast"	"PRTG"	"female"	"Entorhinal Cortex"
"FAM182B"	0.00248096476863682	0.334943450048468	0.437	0.261	1	"Ast"	"FAM182B"	"female"	"Entorhinal Cortex"
"MSN"	0.00248238187923211	0.583298019977627	0.106	0.028	1	"Ast"	"MSN"	"female"	"Entorhinal Cortex"
"LRRN3"	0.00249652235032423	-0.766311730646875	0.033	0.102	1	"Ast"	"LRRN3"	"female"	"Entorhinal Cortex"
"PABPC4"	0.00250083819368412	0.426283195335582	0.118	0.034	1	"Ast"	"PABPC4"	"female"	"Entorhinal Cortex"
"PI16"	0.00252901238658461	0.55645908926535	0.118	0.034	1	"Ast"	"PI16"	"female"	"Entorhinal Cortex"
"MFGE8"	0.00255480608462066	-0.779411351986814	0.094	0.188	1	"Ast"	"MFGE8"	"female"	"Entorhinal Cortex"
"CHST1"	0.0025721632167266	0.546588900206087	0.106	0.028	1	"Ast"	"CHST1"	"female"	"Entorhinal Cortex"
"ELF1"	0.002574524654197	0.589640287024651	0.151	0.057	1	"Ast"	"ELF1"	"female"	"Entorhinal Cortex"
"XPC"	0.00258741226097244	0.587530043754601	0.106	0.028	1	"Ast"	"XPC"	"female"	"Entorhinal Cortex"
"SBF2"	0.0025983585567485	0.260224559660465	0.449	0.273	1	"Ast"	"SBF2"	"female"	"Entorhinal Cortex"
"MYEF2"	0.00264286589440872	0.393159248149896	0.208	0.091	1	"Ast"	"MYEF2"	"female"	"Entorhinal Cortex"
"WDR70"	0.00273012582608746	0.400038701825978	0.261	0.131	1	"Ast"	"WDR70"	"female"	"Entorhinal Cortex"
"MOK"	0.0027365659924968	0.321437905440387	0.204	0.091	1	"Ast"	"MOK"	"female"	"Entorhinal Cortex"
"ST5"	0.0027738793333766	0.338202806624026	0.237	0.114	1	"Ast"	"ST5"	"female"	"Entorhinal Cortex"
"ITPKB-AS1"	0.00278314698372119	-0.799645558814533	0.041	0.114	1	"Ast"	"ITPKB-AS1"	"female"	"Entorhinal Cortex"
"ARFGEF1"	0.00283551441351612	0.456874708110681	0.18	0.074	1	"Ast"	"ARFGEF1"	"female"	"Entorhinal Cortex"
"MIATNB"	0.00283732032305175	-0.768857276274782	0.033	0.102	1	"Ast"	"MIATNB"	"female"	"Entorhinal Cortex"
"IDI1"	0.00285175049278864	0.879266107011466	0.224	0.108	1	"Ast"	"IDI1"	"female"	"Entorhinal Cortex"
"SLC16A1-AS1"	0.0028609694707693	0.415322378979215	0.196	0.085	1	"Ast"	"SLC16A1-AS1"	"female"	"Entorhinal Cortex"
"CCDC91"	0.00286711397758653	0.351027394335432	0.253	0.125	1	"Ast"	"CCDC91"	"female"	"Entorhinal Cortex"
"ZSWIM6"	0.00287859813926188	0.395924772425066	0.584	0.432	1	"Ast"	"ZSWIM6"	"female"	"Entorhinal Cortex"
"TNS1"	0.00291206573798141	0.421900695290052	0.176	0.074	1	"Ast"	"TNS1"	"female"	"Entorhinal Cortex"
"PRRC2B"	0.00291831620320933	0.66391071918199	0.212	0.102	1	"Ast"	"PRRC2B"	"female"	"Entorhinal Cortex"
"LIMS1"	0.0029376802452179	0.453324411928619	0.127	0.04	1	"Ast"	"LIMS1"	"female"	"Entorhinal Cortex"
"ACOT11"	0.00293975595786684	0.420449764342169	0.384	0.227	1	"Ast"	"ACOT11"	"female"	"Entorhinal Cortex"
"TMEM164"	0.00295023211907956	0.459664789086671	0.224	0.108	1	"Ast"	"TMEM164"	"female"	"Entorhinal Cortex"
"SLC25A5"	0.00296239565845361	-0.771365113680544	0.037	0.108	1	"Ast"	"SLC25A5"	"female"	"Entorhinal Cortex"
"ZNF621"	0.00296911591506143	0.410059363431345	0.127	0.04	1	"Ast"	"ZNF621"	"female"	"Entorhinal Cortex"
"LINC00299"	0.00297360267325765	-0.922858889102633	0.18	0.284	1	"Ast"	"LINC00299"	"female"	"Entorhinal Cortex"
